en,pl,description,file,hash
Render JSON-LD schema,Renderuj schemat JSON-LD,,site/modules/Ichiban/Ichiban.module.php,093f286865020e6e4762d54b968f4e18
Disable this when templates or another module generate custom structured data.,"Wyłącz tę opcję, gdy szablony lub inny moduł generują niestandardowe dane strukturalne.",,site/modules/Ichiban/Ichiban.module.php,4c61b25b55b63f2ab8fa34b40ae0d612
Webmaster Verification,Weryfikacja webmastera,,site/modules/Ichiban/Ichiban.module.php,e16aace7feb4c4c815b9f9acbf072815
Verification tags and Meta Pixel are rendered on the home page only. Google Search Console verification is intentionally omitted here because current Google setup should use DNS TXT or CNAME verification.,"Tagi weryfikacyjne i Meta Pixel są renderowane tylko na stronie głównej. Weryfikacja Google Search Console została tutaj celowo pominięta, ponieważ bieżąca konfiguracja Google powinna korzystać z weryfikacji DNS TXT lub CNAME.",,site/modules/Ichiban/Ichiban.module.php,a9c50cdbf2ad228624b2017ab78c7438
"Microsoft Bing, Yahoo, and DuckDuckGo visibility often starts from Bing Webmaster Tools.","Widoczność usług Microsoft Bing, Yahoo i DuckDuckGo często zaczyna się od Narzędzi dla webmasterów Bing.",,site/modules/Ichiban/Ichiban.module.php,fbe1774e9a77f9f92b4b96bf4c64585a
Yandex meta verification token.,Token weryfikacyjny meta Yandex.,,site/modules/Ichiban/Ichiban.module.php,76f540135e80a474de70e3583a54dc45
China: renders baidu-site-verification meta tag.,Chiny: renderuje metatag weryfikacji witryny baidu.,,site/modules/Ichiban/Ichiban.module.php,a95ed1f87dde1518d8b49008ebb77dbb
China: renders sogou_site_verification meta tag.,Chiny: renderuje metatag sogou_site_verification.,,site/modules/Ichiban/Ichiban.module.php,9d4aa8d584f94eac913b6201afac6730
China: renders 360-site-verification meta tag.,Chiny: renderuje metatag weryfikacji witryny 360°.,,site/modules/Ichiban/Ichiban.module.php,d0a0430a9f737934f21aa4303c7edab1
Pinterest domain verification token.,Token weryfikacyjny domeny Pinterest.,,site/modules/Ichiban/Ichiban.module.php,eacbd24ca94cad724c6f391d472638ba
Meta domain verification token.,Token weryfikacyjny meta domeny.,,site/modules/Ichiban/Ichiban.module.php,db13ec584f9633e6751535d17824e79e
Numeric Pixel ID. Renders the standard PageView pixel on the home page.,Numeryczny identyfikator piksela. Renderuje standardowy piksel PageView na stronie głównej.,,site/modules/Ichiban/Ichiban.module.php,9219a1dab2e3eebf88becf2f14e80d01
Additional verification meta tags,Dodatkowe metatagi weryfikacyjne,,site/modules/Ichiban/Ichiban.module.php,e7d88f3cf0b8b671959e10fe014e8fd2
One per line as meta-name=token. Use for regional tools that provide a meta verification tag.,"Po jednym w wierszu jako meta-name=token. Użyj w przypadku narzędzi regionalnych, które udostępniają metatag weryfikacyjny.",,site/modules/Ichiban/Ichiban.module.php,76f0c578ce00ff37d7e990f91b0953d3
Example: example-site-verification=abc123. Only simple meta names are rendered.,Przykład: przykładowa weryfikacja witryny=abc123. Renderowane są tylko proste metanazwy.,,site/modules/Ichiban/Ichiban.module.php,3cd39c0bf9c68bf909c01310e7dfa0ef
Google Search Console,Google Search Console,,site/modules/Ichiban/Ichiban.module.php,4243784eac7728b8e6339bdafe240e01
"Enable the Google Search Console API, create an OAuth Web application client, add this authorized redirect URI: %s, publish the OAuth app to production, then paste the Client ID and Client Secret below. Existing tokens are preserved when settings are saved.","Włącz Google Search Console API, utwórz klienta aplikacji internetowej OAuth, dodaj ten autoryzowany identyfikator przekierowania: %s, opublikuj aplikację OAuth w środowisku produkcyjnym, a następnie wklej poniżej identyfikator klienta i klucz tajny klienta. Istniejące tokeny zostaną zachowane po zapisaniu ustawień.",,site/modules/Ichiban/Ichiban.module.php,43a85ff63755f87a7ccd5056ba6c38c6
Connection status,Stan połączenia,,site/modules/Ichiban/Ichiban.module.php,1714ef7e843e7735ce68bebe872f33e5
Access token expires %s.,Token dostępu wygasa %s.,,site/modules/Ichiban/Ichiban.module.php,ba85dd89d299ed46b9c8a5948542f99c
Access token expired; refresh token is saved.,Token dostępu wygasł; token odświeżania został zapisany.,,site/modules/Ichiban/Ichiban.module.php,f3802e32cd6d09d7c1af945c4f5943d6
Client ID saved,Identyfikator klienta został zapisany,,site/modules/Ichiban/Ichiban.module.php,1de31a3258bc607d52b41ee216c7d72f
Client Secret saved,Zapisano tajemnicę klienta,,site/modules/Ichiban/Ichiban.module.php,42b44c19ef8327c019c9ad9f78d67aee
Google account connected,Połączono konto Google,,site/modules/Ichiban/Ichiban.module.php,d760203bbcc492353c8b31b14d9ffbf7
Open Insights,Otwórz spostrzeżenia,,site/modules/Ichiban/Ichiban.module.php,7f1baa2a21ced2b2e130215f4bafd5f4
"Enter the Search Console domain, for example lqrs.uk. Ichiban will query it as a Domain property. You can still enter a URL-prefix property like https://example.com/ when needed.","Wpisz domenę Search Console, na przykład lqrs.uk. Ichiban zapyta o to jako o właściwość domeny. W razie potrzeby nadal możesz wprowadzić właściwość przedrostka URL, np. https://example.com/.",,site/modules/Ichiban/Ichiban.module.php,239ee60095ca0138f335744cf3894216
Examples: lqrs.uk or https://example.com/,Przykłady: lqrs.uk lub https://example.com/,,site/modules/Ichiban/Ichiban.module.php,c5841c295217e694ae9814ae1de70f4e
Backlinks / Moz API,Linki zwrotne / Moz API,,site/modules/Ichiban/Ichiban.module.php,148a3c9e93041db9e3a92077aa62487a
"Moz Links API is used by the Backlinks section for inbound links, linking root domains, and anchor text. Use the new Moz API token when possible; legacy Access ID and Secret Key are only a fallback. Start with a small row limit to control monthly usage.","Moz Linki API jest używany w sekcji Linki zwrotne dla linków przychodzących, linkujących domen głównych i tekstu zakotwiczenia. Jeśli to możliwe, używaj nowego tokena Moz API; starsze identyfikatory dostępu i tajny klucz są jedynie rozwiązaniem zastępczym. Zacznij od małego limitu wierszy, aby kontrolować miesięczne wykorzystanie.",,site/modules/Ichiban/Ichiban.module.php,3934fe34546dadc9006bc189343d76f2
Default target,Domyślny cel,,site/modules/Ichiban/Ichiban.module.php,b9fa8d034ac4e37eaf215fe66737b851
Moz API token,Token Moz API,,site/modules/Ichiban/Ichiban.module.php,607e064d5ce603ed00fcaf852c19c94b
Legacy Moz Access ID,Starszy identyfikator dostępu Moz,,site/modules/Ichiban/Ichiban.module.php,9b8ce27d60235026df35f7d5cbca4530
Legacy Moz Secret Key,Starszy tajny klucz Moz,,site/modules/Ichiban/Ichiban.module.php,c8ee8763358100831a05c85657874e72
Moz API base URL,Moz API podstawa URL,,site/modules/Ichiban/Ichiban.module.php,3a6253c05602eb8d3bd204c6116b429d
Rows per request,Wiersze na żądanie,,site/modules/Ichiban/Ichiban.module.php,ad470cb6dbb8dc939f06c96e7b0ab4fb
Used by the Backlinks preview tables.,Używane przez tabele podglądu linków zwrotnych.,,site/modules/Ichiban/Ichiban.module.php,7c7dd953919a36c2613a5cbdb05ce96c
Timeout (sec),Limit czasu (s),,site/modules/Ichiban/Ichiban.module.php,ef8e3c27bc823b5dcf6164fb9f2823de
AI / OpenRouter,AI / OpenRouter,,site/modules/Ichiban/Ichiban.module.php,352d399e1a48f6097e5ba56506f05233
"OpenRouter connection used by the Ichiban AI section. This follows the same OpenAI-compatible pattern as the Context module: provider, API key, model, limits, and OpenRouter attribution headers.","Połączenie OpenRouter wykorzystywane przez sekcję Ichiban AI. Jest to zgodne z tym samym wzorcem zgodnym z OpenAI, co moduł kontekstowy: dostawca, klucz API, model, limity i nagłówki atrybucji OpenRouter.",,site/modules/Ichiban/Ichiban.module.php,cfc3cf84b322e9ae90482456eeb3bd38
Enable AI features,Włącz funkcje AI,,site/modules/Ichiban/Ichiban.module.php,3148562cec18808d8b30b9ee29e0f94e
Provider,Dostawca,,site/modules/Ichiban/Ichiban.module.php,27703c8f150ac4bb0a3a83a7857353af
OpenRouter API key,Klucz OpenRouter API,,site/modules/Ichiban/Ichiban.module.php,3f887aa03ecf4b1f9927b54999f9f425
Get a key at openrouter.ai/keys.,Zdobądź klucz na openrouter.ai/keys.,,site/modules/Ichiban/Ichiban.module.php,4737a7f3850d0474f3335ad3d0f213fa
Default model,Domyślny model,,site/modules/Ichiban/Ichiban.module.php,b8821dd93fc369a07b7e9be00bd71b10
"OpenRouter format: provider/model, for example anthropic/claude-sonnet-4-6 or openai/gpt-4o-mini.","Format OpenRouter: dostawca/model, na przykład anthropic/claude-sonnet-4-6 lub openai/gpt-4o-mini.",,site/modules/Ichiban/Ichiban.module.php,f14be682d566283dc93e3af760bc8720
Max tokens,Maksymalna liczba tokenów,,site/modules/Ichiban/Ichiban.module.php,ebd6c027329f58c7a56ddb68035e623a
Temperature,Temperatura,,site/modules/Ichiban/Ichiban.module.php,ee7a8e262285ed49ea1b4e4ae11525bd
"0 = deterministic, 1 = more creative.","0 = deterministyczny, 1 = bardziej kreatywny.",,site/modules/Ichiban/Ichiban.module.php,e9c19aa21f310410427aed8cf273ee5e
Global system prompt,Monit systemu globalnego,,site/modules/Ichiban/Ichiban.module.php,dc80dfae1022d8c1f3a4424589c3947f
Prepended to Ichiban AI requests.,Dołączany do żądań Ichiban AI.,,site/modules/Ichiban/Ichiban.module.php,ac60eb790e862f3f993590931849b81f
You are a helpful SEO assistant for ProcessWire websites.,Jesteś pomocnym asystentem SEO dla stron internetowych ProcessWire.,,site/modules/Ichiban/Ichiban.module.php,75146a303e87f5716fce1a6a506185cf
Site URL (OpenRouter attribution),Witryna URL (atrybucja OpenRouter),,site/modules/Ichiban/Ichiban.module.php,24d92b3277066f6e0f59081c85224a28
Sent as HTTP-Referer header.,Wysłane jako nagłówek HTTP-Referer.,,site/modules/Ichiban/Ichiban.module.php,abdfdf90ffdff8c9d2aa53a5e0c0e5ae
Site / app name (OpenRouter attribution),Nazwa witryny/aplikacji (przypisanie OpenRouter),,site/modules/Ichiban/Ichiban.module.php,42adc4749d3e4cad8dab5d6caaefb002
Sent as X-Title header.,Wysłane jako nagłówek X-Title.,,site/modules/Ichiban/Ichiban.module.php,d5d1de4439d5925614911c6ece8274dd
Publishing & URLs,Publikowanie i URLs,,site/modules/Ichiban/Ichiban.module.php,86c81580cb61ca8b8b36e1eb8791e413
"IndexNow keys are simple verification strings, not keys from an account. Generate one here or use any 8-128 character key containing letters, numbers, and hyphens. A public key file named {key}.txt must exist at the site root and contain the key.","Klucze IndexNow to proste ciągi weryfikacyjne, a nie klucze z konta. Wygeneruj go tutaj lub użyj dowolnego klucza o długości od 8 do 128 znaków zawierającego litery, cyfry i łączniki. Plik klucza publicznego o nazwie {key}.txt musi istnieć w katalogu głównym witryny i zawierać klucz.",,site/modules/Ichiban/Ichiban.module.php,6ba02b19032039de34d471bc54d181ad
Current key file URL: %s,Bieżący plik klucza URL: %s,,site/modules/Ichiban/Ichiban.module.php,f3fa4b8b953f520859f0c214f66d9bae
Index Now API Key,Indeksuj teraz klucz API,,site/modules/Ichiban/Ichiban.module.php,cf092d7f265535840a7191bfcde56ce6
Used when Ichiban pings IndexNow after a public page is saved.,"Używane, gdy Ichiban wysyła polecenie ping do IndexNow po zapisaniu strony publicznej.",,site/modules/Ichiban/Ichiban.module.php,b84b5ee761e789d69ce9c7be24f60152
Click Save to write/update the public key file if the site root is writable.,"Kliknij przycisk Zapisz, aby zapisać/zaktualizować plik klucza publicznego, jeśli katalog główny witryny umożliwia zapis.",,site/modules/Ichiban/Ichiban.module.php,d41067de431a8f0e6afc4d55afe9a674
Twitter/X Site Handle (global default),Uchwyt witryny Twitter/X (domyślny globalny),,site/modules/Ichiban/Ichiban.module.php,ad9fdbcb00b1dd7da69fbcdf723973f4
Example: @example,Przykład: @przykład,,site/modules/Ichiban/Ichiban.module.php,554f29fd1e15440cc34dbaa8a1b3cadc
URL segments in SEO URLs,Segmenty URL w SEO URLs,,site/modules/Ichiban/Ichiban.module.php,9556ac4044ecb6e06b7b429847b0a7ab
"Controls canonical, og:url, twitter:url, and hreflang on pages that use ProcessWire URL segments.","Kontroluje kanoniczne, og:url, twitter:url i hreflang na stronach korzystających z segmentów ProcessWire URL.",,site/modules/Ichiban/Ichiban.module.php,17b32f4acfd38a4071740901071cc050
Preserve current URL segments,Zachowaj bieżące segmenty URL,,site/modules/Ichiban/Ichiban.module.php,83d8e9e795d8952cd83396209ba9a48f
Collapse to the page URL,Zwiń do strony URL,,site/modules/Ichiban/Ichiban.module.php,fe2bdcd2792e9da25e6ea86d111b4c97
Sitemap,Mapa witryny,,site/modules/Ichiban/Ichiban.module.php,5813ce0ec7196c492c97596718f71969
Public index: %s. Use the Sitemap tab for generation status and manual actions.,"Indeks publiczny: %s. Użyj karty Mapa witryny, aby sprawdzić stan generowania i działania ręczne.",,site/modules/Ichiban/Ichiban.module.php,55b9475f53a07c7d5196f4c71a398dbb
Enable XML sitemap,Włącz mapę witryny XML,,site/modules/Ichiban/Ichiban.module.php,569a85acaf40ac1f92443e0decb42c95
Sitemap directory,Katalog mapy witryny,,site/modules/Ichiban/Ichiban.module.php,b0f475614b773ce993fe45c9ef8b6329
Relative to the ProcessWire web root.,W odniesieniu do głównego katalogu WWW ProcessWire.,,site/modules/Ichiban/Ichiban.module.php,ba69c62563d8fcaa5bc70e618ad9686c
URLs per file,URLs na plik,,site/modules/Ichiban/Ichiban.module.php,ae11a7f6039f458bb3417a74af2a2a22
Respect noindex,Szanuję noindex,,site/modules/Ichiban/Ichiban.module.php,42daa8924f722774b292a26353574ae1
Include hidden pages,Uwzględnij ukryte strony,,site/modules/Ichiban/Ichiban.module.php,42fdbb35b46ad8e66130cc690f8d2e84
Include unpublished pages,Uwzględnij niepublikowane strony,,site/modules/Ichiban/Ichiban.module.php,f10bf91385c456e865e24520b8c3249a
Include image entries,Dołącz wpisy graficzne,,site/modules/Ichiban/Ichiban.module.php,bae90c7f5f8ba4caf46f4d33748af032
Include hreflang alternates,Uwzględnij alternatywy hreflang,,site/modules/Ichiban/Ichiban.module.php,a3f0a766c142dca615feb89b2fcf8e4f
Auto-regenerate with LazyCron,Automatyczna regeneracja za pomocą LazyCron,,site/modules/Ichiban/Ichiban.module.php,f395869cfdc0ad94b539257b0822f0b9
Default priority,Domyślny priorytet,,site/modules/Ichiban/Ichiban.module.php,1ebbf846450960ea27ce5d8a47e2ee28
Default change frequency,Domyślna częstotliwość zmian,,site/modules/Ichiban/Ichiban.module.php,7c7455bca9481ec96e91524395bd37a6
Homepage priority,Priorytet strony głównej,,site/modules/Ichiban/Ichiban.module.php,49e0d8d486d9112f21ba54742fe55be5
Homepage change frequency,Częstotliwość zmian strony głównej,,site/modules/Ichiban/Ichiban.module.php,c7e60025101e69e09853c4ac2718519b
Only include templates,Dołącz tylko szablony,,site/modules/Ichiban/Ichiban.module.php,950bad0a29a72ff00fb288b1f071d3ca
Exclude templates,Wyklucz szablony,,site/modules/Ichiban/Ichiban.module.php,c7ea296376dd22a7d17f04efffe8ed27
Lastmod date format,Format daty Lastmod,,site/modules/Ichiban/Ichiban.module.php,31f0035ae8deafc50c1a884e22a2c851
Regenerate interval seconds,Regeneruj sekundy interwału,,site/modules/Ichiban/Ichiban.module.php,6b7ef7337d0424ec1eaae0becea77bc2
Exclude URL patterns,Wyklucz wzorce URL,,site/modules/Ichiban/Ichiban.module.php,7b2a2bf0e015b564de9d30ec757db7cc
One substring or regex per line.,Jeden podciąg lub wyrażenie regularne na linię.,,site/modules/Ichiban/Ichiban.module.php,205b33cf81fcdb5e601655a6dfdd6641
Custom URLs,Niestandardowy URLs,,site/modules/Ichiban/Ichiban.module.php,ab6d16c877b80ef4bcaa140978b45722
"One CSV row per URL: loc,lastmod,changefreq,priority. JSON array is also accepted.","Jeden wiersz CSV na URL: loc,lastmod,changefreq,priority. Akceptowana jest także tablica JSON.",,site/modules/Ichiban/Ichiban.module.php,cd635d3759f05d2a6653958ea84baa87
Actions,Działania,,site/modules/Ichiban/Ichiban.module.php,06df33001c1d7187fdd81ea1f5b277aa
Open Sitemap dashboard,Otwórz panel mapy witryny,,site/modules/Ichiban/Ichiban.module.php,b61224e27f0e9c1e2ea56427ab9df646
Open sitemap.xml,Otwórz plik sitemap.xml,,site/modules/Ichiban/Ichiban.module.php,e22314499074693a6db3ad3ad84009d7
robots.txt / llms.txt,plik robots.txt / llms.txt,,site/modules/Ichiban/Ichiban.module.php,f7f3595cfd911fe0f32b2d5ed2d6ec94
"RobotsTxt companion module is installed. Use Setup > Robots.txt for the physical robots.txt editor and presets, or enable Ichiban robots.txt only when you want Ichiban to serve it dynamically. Avoid managing robots.txt in both places at once.","Zainstalowano moduł towarzyszący RobotsTxt. Użyj opcji Konfiguracja > Robots.txt, aby uzyskać dostęp do fizycznego edytora pliku robots.txt i ustawień wstępnych, lub włącz plik Ichiban robots.txt tylko wtedy, gdy chcesz, aby Ichiban udostępniał go dynamicznie. Unikaj zarządzania plikiem robots.txt w obu miejscach jednocześnie.",,site/modules/Ichiban/Ichiban.module.php,61485a8a151dfd94bbad3951bd85db78
"Install the companion RobotsTxt module if you want a full physical robots.txt editor with presets, rules overview, file status, and a View file action. Ichiban can still serve a simple dynamic robots.txt when enabled below.","Zainstaluj towarzyszący moduł RobotsTxt, jeśli chcesz mieć w pełni fizyczny edytor pliku robots.txt z ustawieniami wstępnymi, przeglądem reguł, stanem pliku i akcją Wyświetl plik. Ichiban może nadal wyświetlać prosty, dynamiczny plik robots.txt, jeśli włączono tę opcję poniżej.",,site/modules/Ichiban/Ichiban.module.php,8ce9d35f1632ad55a9b6fb6c83fdea06
Open Robots.txt editor,Otwórz edytor pliku Robots.txt,,site/modules/Ichiban/Ichiban.module.php,ebbcbe25e55e17e08420c46e56b9b72b
Open robots.txt,Otwórz plik robots.txt,,site/modules/Ichiban/Ichiban.module.php,6319ecca224596dd462c8d70e5de251e
Serve robots.txt from Ichiban,Udostępnij plik robots.txt z Ichiban,,site/modules/Ichiban/Ichiban.module.php,3adf7437341bc34c9a419562a915cb4b
robots.txt content,zawartość pliku robots.txt,,site/modules/Ichiban/Ichiban.module.php,06007cedde4f915ae8a13b0bbce0565f
Ichiban appends Sitemap automatically when no Sitemap line is present.,"Ichiban automatycznie dołącza mapę witryny, gdy nie ma linii mapy witryny.",,site/modules/Ichiban/Ichiban.module.php,74650062ba06bfbf447668866a3a3760
Serve llms.txt from Ichiban,Podaj plik llms.txt z Ichiban,,site/modules/Ichiban/Ichiban.module.php,3df918c49ac03e882a2eee6e1b2f3377
llms.txt mode,tryb llms.txt,,site/modules/Ichiban/Ichiban.module.php,80c866323cb12b94221dff80bb9cf554
Auto,Automat,,site/modules/Ichiban/Ichiban.module.php,06b9281e396db002010bde1de57262eb
Manual,Instrukcja,,site/modules/Ichiban/Ichiban.module.php,e1ba155a9f2e8c3be94020eef32a0301
Auto mode templates,Szablony trybu automatycznego,,site/modules/Ichiban/Ichiban.module.php,25ee8a7254ee5db849a6b5e5255e4b18
Comma-separated template names. Leave empty for all published pages.,Nazwy szablonów rozdzielone przecinkami. Pozostaw puste dla wszystkich opublikowanych stron.,,site/modules/Ichiban/Ichiban.module.php,74cf4d53a6a97044875cad78893856fa
Manual llms.txt lines,Ręczne wiersze llms.txt,,site/modules/Ichiban/Ichiban.module.php,c65f8a4c0f1b072037bcd4e12d6ead1c
One Markdown link or plain URL per line.,Jedno łącze Markdown lub zwykły URL na linię.,,site/modules/Ichiban/Ichiban.module.php,dba285a1c9da947474171d57c08d9f74
Crawl & Search Cleanup,Oczyszczanie indeksowania i wyszukiwania,,site/modules/Ichiban/Ichiban.module.php,2f33b05b959e88dac60b3ade4c27982c
Use cleanup options carefully on production. Blocked search queries are recorded in the Cleanup log.,Ostrożnie korzystaj z opcji czyszczenia na produkcji. Zablokowane zapytania wyszukiwania są rejestrowane w dzienniku czyszczenia.,,site/modules/Ichiban/Ichiban.module.php,25f9bdac879109e698c3eeea78382965
Block spam search queries,Blokuj zapytania wyszukiwania spamu,,site/modules/Ichiban/Ichiban.module.php,3ca11db7ae6adf6b9fc55bf1e49f9111
Remove RSD link,Usuń łącze RSD,,site/modules/Ichiban/Ichiban.module.php,e78db2fa2f930ca7eb95d4fe519b1079
Remove WLW manifest,Usuń manifest WLW,,site/modules/Ichiban/Ichiban.module.php,af4faf4b93a20e008a2a44d6afda6e5e
Remove shortlink,Usuń krótki link,,site/modules/Ichiban/Ichiban.module.php,fba5ed320cbabb98e15b1d51ee8917b5
Remove prev/next links,Usuń linki do poprzedniego/następnego,,site/modules/Ichiban/Ichiban.module.php,11e2216ecf0699ef40a37d563256f587
Remove generator meta,Usuń meta generatora,,site/modules/Ichiban/Ichiban.module.php,da6d4ea0cd2bf158595a2f0e44c0afcb
Blocked query action,Zablokowana akcja zapytania,,site/modules/Ichiban/Ichiban.module.php,84eea49868e62884a2b1691d7cddcdc1
Redirect to homepage,Przekieruj na stronę główną,,site/modules/Ichiban/Ichiban.module.php,0499b7aaa6d121d7bece90c4109317b2
Return 400,Zwróć 400,,site/modules/Ichiban/Ichiban.module.php,d7c0a219f529812b6e4b637d7b61475f
Custom block regex patterns,Niestandardowe wzorce wyrażeń regularnych blokowych,,site/modules/Ichiban/Ichiban.module.php,2a055d063bf3d4633b9178510c96e149
One regular expression per line.,Jedno wyrażenie regularne w każdym wierszu.,,site/modules/Ichiban/Ichiban.module.php,711561b4befca537ab5d6186def421ed
Dashboard,Pulpit nawigacyjny,,site/modules/Ichiban/ProcessIchiban.module.php,2938c7f7e560ed972f8a4f68e80ff834
SEO Dashboard,Deska rozdzielcza SEO,,site/modules/Ichiban/ProcessIchiban.module.php,9f4d395b3e4af46f092a4b462b8ea473
"A quick overview of metadata health, crawl cleanup activity, redirects, and recent SEO changes.","Szybki przegląd stanu metadanych, czynności czyszczenia indeksowania, przekierowań i ostatnich zmian SEO.",,site/modules/Ichiban/ProcessIchiban.module.php,5ded7cfc24996854da04760043ba6190
Open Audit,Otwarty audyt,,site/modules/Ichiban/ProcessIchiban.module.php,d696bd75a309953bf613eb851cdee09a
Site SEO Score,Wynik witryny SEO,,site/modules/Ichiban/ProcessIchiban.module.php,3e37d6888c657624030bcc638dadcc13
Review score,Wynik przeglądu,,site/modules/Ichiban/ProcessIchiban.module.php,416798f0b25aeb1beb087b8a33e932a5
Pages without a meta title.,Strony bez metatytułu.,,site/modules/Ichiban/ProcessIchiban.module.php,c6f04a5a6afe09939cab1dc1b9a8d078
Pages without a search snippet.,Strony bez fragmentu wyszukiwania.,,site/modules/Ichiban/ProcessIchiban.module.php,bfb42942a405eac62ad0e92738a5c4f3
Pages that may share poorly on social networks.,"Strony, które mogą słabo udostępniać się w sieciach społecznościowych.",,site/modules/Ichiban/ProcessIchiban.module.php,e0ee926486f6ca48f8b405f1c383f634
Published pages hidden from search engines.,Opublikowane strony ukryte przed wyszukiwarkami.,,site/modules/Ichiban/ProcessIchiban.module.php,926a9f5a5e0668125a66753533fd5404
Schemas,Schematy,,site/modules/Ichiban/ProcessIchiban.module.php,a38d889a69652729428cd6a8d98fac2d
GSC clicks,GSC klika,,site/modules/Ichiban/ProcessIchiban.module.php,2a0256449a43fc299bc7b07f07cc2f2e
Indexing issues,Problemy z indeksowaniem,,site/modules/Ichiban/ProcessIchiban.module.php,b8529a719da70101b02721a9b1a13ca8
Index last rebuilt: %s,Ostatnia przebudowa indeksu: %s,,site/modules/Ichiban/ProcessIchiban.module.php,ff9b4fbc51b2f0812cc38cd1178f6c26
Rebuild Index,Odbuduj indeks,,site/modules/Ichiban/ProcessIchiban.module.php,7a7b7a0b739647a0aa6bb1875ffee650
Recent redirects,Ostatnie przekierowania,,site/modules/Ichiban/ProcessIchiban.module.php,d8d1e8296464e0d102b685ca5740f12e
No redirects have been created yet.,Nie utworzono jeszcze żadnych przekierowań.,,site/modules/Ichiban/ProcessIchiban.module.php,4a38edfeaacb03b63ea7ff7c01e36aba
Manage redirects,Zarządzaj przekierowaniami,,site/modules/Ichiban/ProcessIchiban.module.php,33b539e75111e7b300ec05d15c784435
Structured data,Dane strukturalne,,site/modules/Ichiban/ProcessIchiban.module.php,09c0d35fcf533a857f668781e02c37a3
schema mappings,mapowania schematów,,site/modules/Ichiban/ProcessIchiban.module.php,2f0a76f2e289332c22015e8c0ee86b74
missing OG images,brakujące obrazy OG,,site/modules/Ichiban/ProcessIchiban.module.php,9d87b77d119da75e9586d9057706c800
