en,sk,description,file,hash
One per line as meta-name=token. Use for regional tools that provide a meta verification tag.,"Jeden na riadok ako meta-name=token. Používa sa pre regionálne nástroje, ktoré poskytujú meta overovaciu značku.",,site/modules/Ichiban/Ichiban.module.php,76f0c578ce00ff37d7e990f91b0953d3
Example: example-site-verification=abc123. Only simple meta names are rendered.,Príklad: example-site-verification=abc123. Vykresľujú sa iba jednoduché metanázvy.,,site/modules/Ichiban/Ichiban.module.php,3cd39c0bf9c68bf909c01310e7dfa0ef
Google Search Console,Google Search Console,,site/modules/Ichiban/Ichiban.module.php,4243784eac7728b8e6339bdafe240e01
"Enable the Google Search Console API, create an OAuth Web application client, add this authorized redirect URI: %s, publish the OAuth app to production, then paste the Client ID and Client Secret below. Existing tokens are preserved when settings are saved.","Povoľte Google Search Console API, vytvorte klienta webovej aplikácie OAuth, pridajte toto autorizované presmerovanie URI: %s, publikujte aplikáciu OAuth do produkcie a potom vložte ID klienta a tajný kľúč klienta nižšie. Existujúce tokeny sa po uložení nastavení zachovajú.",,site/modules/Ichiban/Ichiban.module.php,43a85ff63755f87a7ccd5056ba6c38c6
Connection status,Stav pripojenia,,site/modules/Ichiban/Ichiban.module.php,1714ef7e843e7735ce68bebe872f33e5
Access token expires %s.,Platnosť prístupového tokenu vyprší %s.,,site/modules/Ichiban/Ichiban.module.php,ba85dd89d299ed46b9c8a5948542f99c
Access token expired; refresh token is saved.,Platnosť prístupového tokenu vypršala; obnovovací token je uložený.,,site/modules/Ichiban/Ichiban.module.php,f3802e32cd6d09d7c1af945c4f5943d6
Client ID saved,ID klienta bolo uložené,,site/modules/Ichiban/Ichiban.module.php,1de31a3258bc607d52b41ee216c7d72f
Client Secret saved,Tajný kľúč klienta bol uložený,,site/modules/Ichiban/Ichiban.module.php,42b44c19ef8327c019c9ad9f78d67aee
Google account connected,Účet Google je pripojený,,site/modules/Ichiban/Ichiban.module.php,d760203bbcc492353c8b31b14d9ffbf7
Open Insights,Otvorte Štatistiky,,site/modules/Ichiban/Ichiban.module.php,7f1baa2a21ced2b2e130215f4bafd5f4
"Enter the Search Console domain, for example lqrs.uk. Ichiban will query it as a Domain property. You can still enter a URL-prefix property like https://example.com/ when needed.","Zadajte doménu Search Console, napríklad lqrs.uk. Ichiban ho vyhľadá ako vlastnosť domény. V prípade potreby môžete stále zadať vlastnosť s predponou URL, napríklad https://example.com/.",,site/modules/Ichiban/Ichiban.module.php,239ee60095ca0138f335744cf3894216
Examples: lqrs.uk or https://example.com/,Príklady: lqrs.uk alebo https://example.com/,,site/modules/Ichiban/Ichiban.module.php,c5841c295217e694ae9814ae1de70f4e
Backlinks / Moz API,Spätné odkazy / Moz API,,site/modules/Ichiban/Ichiban.module.php,148a3c9e93041db9e3a92077aa62487a
"Moz Links API is used by the Backlinks section for inbound links, linking root domains, and anchor text. Use the new Moz API token when possible; legacy Access ID and Secret Key are only a fallback. Start with a small row limit to control monthly usage.","Odkazy Moz API sa používa v sekcii Spätné odkazy na prichádzajúce odkazy, prepájanie koreňových domén a kotviaci text. Keď je to možné, použite nový token Moz API; staršie prístupové ID a tajný kľúč sú len náhradou. Začnite s malým limitom riadkov na kontrolu mesačného používania.",,site/modules/Ichiban/Ichiban.module.php,3934fe34546dadc9006bc189343d76f2
Default target,Predvolený cieľ,,site/modules/Ichiban/Ichiban.module.php,b9fa8d034ac4e37eaf215fe66737b851
Moz API token,Token Moz API,,site/modules/Ichiban/Ichiban.module.php,607e064d5ce603ed00fcaf852c19c94b
Legacy Moz Access ID,Starý prístupový identifikátor Moz,,site/modules/Ichiban/Ichiban.module.php,9b8ce27d60235026df35f7d5cbca4530
Legacy Moz Secret Key,Starý tajný kľúč Moz,,site/modules/Ichiban/Ichiban.module.php,c8ee8763358100831a05c85657874e72
Moz API base URL,Moz Základňa API URL,,site/modules/Ichiban/Ichiban.module.php,3a6253c05602eb8d3bd204c6116b429d
Rows per request,Riadky na žiadosť,,site/modules/Ichiban/Ichiban.module.php,ad470cb6dbb8dc939f06c96e7b0ab4fb
Used by the Backlinks preview tables.,Používa sa v tabuľkách náhľadov spätných odkazov.,,site/modules/Ichiban/Ichiban.module.php,7c7dd953919a36c2613a5cbdb05ce96c
Timeout (sec),Časový limit (s),,site/modules/Ichiban/Ichiban.module.php,ef8e3c27bc823b5dcf6164fb9f2823de
AI / OpenRouter,AI / OpenRouter,,site/modules/Ichiban/Ichiban.module.php,352d399e1a48f6097e5ba56506f05233
"OpenRouter connection used by the Ichiban AI section. This follows the same OpenAI-compatible pattern as the Context module: provider, API key, model, limits, and OpenRouter attribution headers.","Spojenie OpenRouter používané sekciou Ichiban AI. Toto sa riadi rovnakým vzorom kompatibilným s OpenAI ako kontextový modul: poskytovateľ, kľúč API, model, limity a hlavičky pripisovania OpenRouter.",,site/modules/Ichiban/Ichiban.module.php,cfc3cf84b322e9ae90482456eeb3bd38
Enable AI features,Povoliť funkcie AI,,site/modules/Ichiban/Ichiban.module.php,3148562cec18808d8b30b9ee29e0f94e
Provider,Poskytovateľ,,site/modules/Ichiban/Ichiban.module.php,27703c8f150ac4bb0a3a83a7857353af
OpenRouter API key,Kľúč OpenRouter API,,site/modules/Ichiban/Ichiban.module.php,3f887aa03ecf4b1f9927b54999f9f425
Get a key at openrouter.ai/keys.,Získajte kľúč na openrouter.ai/keys.,,site/modules/Ichiban/Ichiban.module.php,4737a7f3850d0474f3335ad3d0f213fa
Default model,Predvolený model,,site/modules/Ichiban/Ichiban.module.php,b8821dd93fc369a07b7e9be00bd71b10
"OpenRouter format: provider/model, for example anthropic/claude-sonnet-4-6 or openai/gpt-4o-mini.","Formát OpenRouter: poskytovateľ/model, napríklad antropický/claude-sonnet-4-6 alebo openai/gpt-4o-mini.",,site/modules/Ichiban/Ichiban.module.php,f14be682d566283dc93e3af760bc8720
Max tokens,Maximálny počet tokenov,,site/modules/Ichiban/Ichiban.module.php,ebd6c027329f58c7a56ddb68035e623a
Temperature,Teplota,,site/modules/Ichiban/Ichiban.module.php,ee7a8e262285ed49ea1b4e4ae11525bd
"0 = deterministic, 1 = more creative.","0 = deterministický, 1 = kreatívnejší.",,site/modules/Ichiban/Ichiban.module.php,e9c19aa21f310410427aed8cf273ee5e
Global system prompt,Výzva globálneho systému,,site/modules/Ichiban/Ichiban.module.php,dc80dfae1022d8c1f3a4424589c3947f
Prepended to Ichiban AI requests.,Pripojené k požiadavkám Ichiban AI.,,site/modules/Ichiban/Ichiban.module.php,ac60eb790e862f3f993590931849b81f
You are a helpful SEO assistant for ProcessWire websites.,Ste užitočným pomocníkom SEO pre webové stránky ProcessWire.,,site/modules/Ichiban/Ichiban.module.php,75146a303e87f5716fce1a6a506185cf
Site URL (OpenRouter attribution),Stránka URL (pripisovanie OpenRouter),,site/modules/Ichiban/Ichiban.module.php,24d92b3277066f6e0f59081c85224a28
Sent as HTTP-Referer header.,Odoslané ako hlavička HTTP-Referer.,,site/modules/Ichiban/Ichiban.module.php,abdfdf90ffdff8c9d2aa53a5e0c0e5ae
Site / app name (OpenRouter attribution),Názov webu alebo aplikácie (uvedenie OpenRouter),,site/modules/Ichiban/Ichiban.module.php,42adc4749d3e4cad8dab5d6caaefb002
Sent as X-Title header.,Odoslané ako hlavička X-Title.,,site/modules/Ichiban/Ichiban.module.php,d5d1de4439d5925614911c6ece8274dd
Publishing & URLs,Vydavateľstvo a URLs,,site/modules/Ichiban/Ichiban.module.php,86c81580cb61ca8b8b36e1eb8791e413
"IndexNow keys are simple verification strings, not keys from an account. Generate one here or use any 8-128 character key containing letters, numbers, and hyphens. A public key file named {key}.txt must exist at the site root and contain the key.","Kľúče IndexNow sú jednoduché overovacie reťazce, nie kľúče z účtu. Vygenerujte si ho tu alebo použite ľubovoľný kľúč s 8 až 128 znakmi obsahujúci písmená, čísla a spojovníky. Súbor verejného kľúča s názvom {key}.txt musí existovať v koreňovom adresári lokality a musí obsahovať kľúč.",,site/modules/Ichiban/Ichiban.module.php,6ba02b19032039de34d471bc54d181ad
Current key file URL: %s,Aktuálny súbor kľúča URL: %s,,site/modules/Ichiban/Ichiban.module.php,f3fa4b8b953f520859f0c214f66d9bae
Index Now API Key,Index teraz Kľúč API,,site/modules/Ichiban/Ichiban.module.php,cf092d7f265535840a7191bfcde56ce6
Used when Ichiban pings IndexNow after a public page is saved.,"Používa sa, keď Ichiban pingne IndexNow po uložení verejnej stránky.",,site/modules/Ichiban/Ichiban.module.php,b84b5ee761e789d69ce9c7be24f60152
Click Save to write/update the public key file if the site root is writable.,"Kliknite na Uložiť, ak chcete zapísať/aktualizovať súbor verejného kľúča, ak je koreňový adresár lokality zapisovateľný.",,site/modules/Ichiban/Ichiban.module.php,d41067de431a8f0e6afc4d55afe9a674
Twitter/X Site Handle (global default),Twitter/X Site Handle (globálne predvolené),,site/modules/Ichiban/Ichiban.module.php,ad9fdbcb00b1dd7da69fbcdf723973f4
Example: @example,Príklad: @priklad,,site/modules/Ichiban/Ichiban.module.php,554f29fd1e15440cc34dbaa8a1b3cadc
URL segments in SEO URLs,Segmenty URL v SEO URLs,,site/modules/Ichiban/Ichiban.module.php,9556ac4044ecb6e06b7b429847b0a7ab
"Controls canonical, og:url, twitter:url, and hreflang on pages that use ProcessWire URL segments.","Ovláda kanonické, og:url, twitter:url a hreflang na stránkach, ktoré používajú segmenty ProcessWire URL.",,site/modules/Ichiban/Ichiban.module.php,17b32f4acfd38a4071740901071cc050
Preserve current URL segments,Zachovať aktuálne segmenty URL,,site/modules/Ichiban/Ichiban.module.php,83d8e9e795d8952cd83396209ba9a48f
Collapse to the page URL,Zbaliť na stránku URL,,site/modules/Ichiban/Ichiban.module.php,fe2bdcd2792e9da25e6ea86d111b4c97
Updates,Aktualizácie,,site/modules/Ichiban/Ichiban.module.php,9ac41b6a577daadd588f0fcde0071e8b
"Dashboard update checks read GitHub releases and show a full-width banner when a newer Ichiban release exists. Installation is always manual, creates a local backup, and requires the ichiban-manage permission.","Aktualizácia informačného panela kontroluje čítanie vydaní GitHub a zobrazuje banner v plnej šírke, keď existuje novšie vydanie Ichiban. Inštalácia je vždy manuálna, vytvára lokálnu zálohu a vyžaduje povolenie ichiban-manage.",,site/modules/Ichiban/Ichiban.module.php,aff8e95b534b9b42349290ab799cad8c
Check GitHub releases for updates,Skontrolujte aktualizácie GitHub,,site/modules/Ichiban/Ichiban.module.php,8af20990687a028b2f608d8ee6004a5d
Allow one-click update installation,Povoliť inštaláciu aktualizácie jedným kliknutím,,site/modules/Ichiban/Ichiban.module.php,aba4539b0399a88c07f916c767c95b59
"When enabled, the Dashboard banner can download the latest release, back up the current module folder, and replace the module files.","Ak je táto možnosť povolená, banner Dashboard môže stiahnuť najnovšie vydanie, zálohovať aktuálny priečinok modulu a nahradiť súbory modulu.",,site/modules/Ichiban/Ichiban.module.php,f57c1026974a3a1ab1585d9cd74550a3
Update channel,Aktualizovať kanál,,site/modules/Ichiban/Ichiban.module.php,224518815caec6dace24684b7bd877e8
Alpha / prerelease,Alfa / predbežné vydanie,,site/modules/Ichiban/Ichiban.module.php,525e2e5deda2a3dcdd20dc0338bbc4e1
Stable releases only,Len stabilné vydania,,site/modules/Ichiban/Ichiban.module.php,22d41cb854c8a5bcc9a6e97c8cbb410d
GitHub repository,úložisko GitHub,,site/modules/Ichiban/Ichiban.module.php,4a6c7893abd7ef92fb09d3359e17324d
Owner/repository used for release checks and downloads.,Vlastník/úložisko používané na kontroly vydania a sťahovanie.,,site/modules/Ichiban/Ichiban.module.php,35c9bc2b3b21d5920bee034405e4aec5
Sitemap,Sitemap,,site/modules/Ichiban/Ichiban.module.php,5813ce0ec7196c492c97596718f71969
Public index: %s. Use the Sitemap tab for generation status and manual actions.,Verejný index: %s. Na vygenerovanie stavu a ručné akcie použite kartu Sitemap.,,site/modules/Ichiban/Ichiban.module.php,55b9475f53a07c7d5196f4c71a398dbb
Enable XML sitemap,Povoliť mapu webu XML,,site/modules/Ichiban/Ichiban.module.php,569a85acaf40ac1f92443e0decb42c95
Sitemap directory,Adresár Sitemap,,site/modules/Ichiban/Ichiban.module.php,b0f475614b773ce993fe45c9ef8b6329
Relative to the ProcessWire web root.,V porovnaní s webovým koreňom ProcessWire.,,site/modules/Ichiban/Ichiban.module.php,ba69c62563d8fcaa5bc70e618ad9686c
URLs per file,URLs na súbor,,site/modules/Ichiban/Ichiban.module.php,ae11a7f6039f458bb3417a74af2a2a22
Respect noindex,Rešpektujte noindex,,site/modules/Ichiban/Ichiban.module.php,42daa8924f722774b292a26353574ae1
Include hidden pages,Zahrnúť skryté stránky,,site/modules/Ichiban/Ichiban.module.php,42fdbb35b46ad8e66130cc690f8d2e84
Include unpublished pages,Zahrnúť nepublikované stránky,,site/modules/Ichiban/Ichiban.module.php,f10bf91385c456e865e24520b8c3249a
Include image entries,Zahrňte obrázky,,site/modules/Ichiban/Ichiban.module.php,bae90c7f5f8ba4caf46f4d33748af032
Include hreflang alternates,Zahrnúť alternatívy hreflang,,site/modules/Ichiban/Ichiban.module.php,a3f0a766c142dca615feb89b2fcf8e4f
Auto-regenerate with LazyCron,Automatická regenerácia pomocou LazyCron,,site/modules/Ichiban/Ichiban.module.php,f395869cfdc0ad94b539257b0822f0b9
Default priority,Predvolená priorita,,site/modules/Ichiban/Ichiban.module.php,1ebbf846450960ea27ce5d8a47e2ee28
Default change frequency,Predvolená frekvencia zmien,,site/modules/Ichiban/Ichiban.module.php,7c7455bca9481ec96e91524395bd37a6
Homepage priority,Priorita domovskej stránky,,site/modules/Ichiban/Ichiban.module.php,49e0d8d486d9112f21ba54742fe55be5
Homepage change frequency,Frekvencia zmeny domovskej stránky,,site/modules/Ichiban/Ichiban.module.php,c7e60025101e69e09853c4ac2718519b
Only include templates,Zahrňte iba šablóny,,site/modules/Ichiban/Ichiban.module.php,950bad0a29a72ff00fb288b1f071d3ca
Exclude templates,Vylúčiť šablóny,,site/modules/Ichiban/Ichiban.module.php,c7ea296376dd22a7d17f04efffe8ed27
Lastmod date format,Formát dátumu Lastmod,,site/modules/Ichiban/Ichiban.module.php,31f0035ae8deafc50c1a884e22a2c851
Regenerate interval seconds,Obnovte intervalové sekundy,,site/modules/Ichiban/Ichiban.module.php,6b7ef7337d0424ec1eaae0becea77bc2
Exclude URL patterns,Vylúčiť vzory URL,,site/modules/Ichiban/Ichiban.module.php,7b2a2bf0e015b564de9d30ec757db7cc
One substring or regex per line.,Jeden podreťazec alebo regulárny výraz na riadok.,,site/modules/Ichiban/Ichiban.module.php,205b33cf81fcdb5e601655a6dfdd6641
Custom URLs,Vlastné URLs,,site/modules/Ichiban/Ichiban.module.php,ab6d16c877b80ef4bcaa140978b45722
"One CSV row per URL: loc,lastmod,changefreq,priority. JSON array is also accepted.","Jeden riadok CSV na URL: loc, lastmod, changefreq, priorita. Akceptuje sa aj pole JSON.",,site/modules/Ichiban/Ichiban.module.php,cd635d3759f05d2a6653958ea84baa87
Actions,Akcie,,site/modules/Ichiban/Ichiban.module.php,06df33001c1d7187fdd81ea1f5b277aa
Open Sitemap dashboard,Otvorte informačný panel súboru Sitemap,,site/modules/Ichiban/Ichiban.module.php,b61224e27f0e9c1e2ea56427ab9df646
Open sitemap.xml,Otvorte súbor sitemap.xml,,site/modules/Ichiban/Ichiban.module.php,e22314499074693a6db3ad3ad84009d7
robots.txt / llms.txt,robots.txt / llms.txt,,site/modules/Ichiban/Ichiban.module.php,f7f3595cfd911fe0f32b2d5ed2d6ec94
"RobotsTxt companion module is installed. Use Setup > Robots.txt for the physical robots.txt editor and presets, or enable Ichiban robots.txt only when you want Ichiban to serve it dynamically. Avoid managing robots.txt in both places at once.","Je nainštalovaný sprievodný modul RobotsTxt. Použite Nastavenie > Robots.txt pre fyzický editor robots.txt a predvoľby, alebo povoľte súbor robots.txt Ichiban iba vtedy, ak chcete, aby ho Ichiban poskytoval dynamicky. Vyhnite sa správe robots.txt na oboch miestach naraz.",,site/modules/Ichiban/Ichiban.module.php,61485a8a151dfd94bbad3951bd85db78
"Install the companion RobotsTxt module if you want a full physical robots.txt editor with presets, rules overview, file status, and a View file action. Ichiban can still serve a simple dynamic robots.txt when enabled below.","Ak chcete úplný fyzický editor robots.txt s predvoľbami, prehľadom pravidiel, stavom súboru a akciou Zobraziť súbor, nainštalujte si sprievodný modul RobotsTxt. Ichiban môže stále poskytovať jednoduchý dynamický súbor robots.txt, ak je povolený nižšie.",,site/modules/Ichiban/Ichiban.module.php,8ce9d35f1632ad55a9b6fb6c83fdea06
Open Robots.txt editor,Otvorte editor Robots.txt,,site/modules/Ichiban/Ichiban.module.php,ebbcbe25e55e17e08420c46e56b9b72b
Open robots.txt,Otvorte súbor robots.txt,,site/modules/Ichiban/Ichiban.module.php,6319ecca224596dd462c8d70e5de251e
Serve robots.txt from Ichiban,Podávajte robots.txt zo Ichiban,,site/modules/Ichiban/Ichiban.module.php,3adf7437341bc34c9a419562a915cb4b
robots.txt content,obsah súboru robots.txt,,site/modules/Ichiban/Ichiban.module.php,06007cedde4f915ae8a13b0bbce0565f
Ichiban appends Sitemap automatically when no Sitemap line is present.,"Ichiban automaticky pripojí súbor Sitemap, keď nie je prítomný žiadny riadok súboru Sitemap.",,site/modules/Ichiban/Ichiban.module.php,74650062ba06bfbf447668866a3a3760
Serve llms.txt from Ichiban,Podávajte llms.txt zo Ichiban,,site/modules/Ichiban/Ichiban.module.php,3df918c49ac03e882a2eee6e1b2f3377
llms.txt mode,režim llms.txt,,site/modules/Ichiban/Ichiban.module.php,80c866323cb12b94221dff80bb9cf554
Auto,Auto,,site/modules/Ichiban/Ichiban.module.php,06b9281e396db002010bde1de57262eb
Manual,manuál,,site/modules/Ichiban/Ichiban.module.php,e1ba155a9f2e8c3be94020eef32a0301
Auto mode templates,Šablóny automatického režimu,,site/modules/Ichiban/Ichiban.module.php,25ee8a7254ee5db849a6b5e5255e4b18
Comma-separated template names. Leave empty for all published pages.,Názvy šablón oddelené čiarkami. Nechajte prázdne pre všetky publikované stránky.,,site/modules/Ichiban/Ichiban.module.php,74cf4d53a6a97044875cad78893856fa
Manual llms.txt lines,Manuálne riadky llms.txt,,site/modules/Ichiban/Ichiban.module.php,c65f8a4c0f1b072037bcd4e12d6ead1c
One Markdown link or plain URL per line.,Jeden odkaz Markdown alebo obyčajný URL na riadok.,,site/modules/Ichiban/Ichiban.module.php,dba285a1c9da947474171d57c08d9f74
Crawl & Search Cleanup,Vyčistenie indexového prehľadávania a vyhľadávania,,site/modules/Ichiban/Ichiban.module.php,2f33b05b959e88dac60b3ade4c27982c
Use cleanup options carefully on production. Blocked search queries are recorded in the Cleanup log.,Pri výrobe opatrne používajte možnosti čistenia. Blokované vyhľadávacie dopyty sa zaznamenávajú do denníka čistenia.,,site/modules/Ichiban/Ichiban.module.php,25f9bdac879109e698c3eeea78382965
Block spam search queries,Blokovať spamové vyhľadávacie dopyty,,site/modules/Ichiban/Ichiban.module.php,3ca11db7ae6adf6b9fc55bf1e49f9111
Remove RSD link,Odstrániť prepojenie RSD,,site/modules/Ichiban/Ichiban.module.php,e78db2fa2f930ca7eb95d4fe519b1079
Remove WLW manifest,Odstráňte manifest WLW,,site/modules/Ichiban/Ichiban.module.php,af4faf4b93a20e008a2a44d6afda6e5e
Remove shortlink,Odstrániť krátky odkaz,,site/modules/Ichiban/Ichiban.module.php,fba5ed320cbabb98e15b1d51ee8917b5
Remove prev/next links,Odstráňte predchádzajúce/nasledujúce odkazy,,site/modules/Ichiban/Ichiban.module.php,11e2216ecf0699ef40a37d563256f587
Remove generator meta,Odstrániť meta generátora,,site/modules/Ichiban/Ichiban.module.php,da6d4ea0cd2bf158595a2f0e44c0afcb
Blocked query action,Blokovaná akcia dopytu,,site/modules/Ichiban/Ichiban.module.php,84eea49868e62884a2b1691d7cddcdc1
Redirect to homepage,Presmerovanie na domovskú stránku,,site/modules/Ichiban/Ichiban.module.php,0499b7aaa6d121d7bece90c4109317b2
Return 400,Návrat 400,,site/modules/Ichiban/Ichiban.module.php,d7c0a219f529812b6e4b637d7b61475f
Custom block regex patterns,Vlastné blokové regulárne výrazy,,site/modules/Ichiban/Ichiban.module.php,2a055d063bf3d4633b9178510c96e149
One regular expression per line.,Jeden regulárny výraz na riadok.,,site/modules/Ichiban/Ichiban.module.php,711561b4befca537ab5d6186def421ed
Dashboard,Dashboard,,site/modules/Ichiban/ProcessIchiban.module.php,2938c7f7e560ed972f8a4f68e80ff834
SEO Dashboard,Prístrojová doska SEO,,site/modules/Ichiban/ProcessIchiban.module.php,9f4d395b3e4af46f092a4b462b8ea473
"A quick overview of metadata health, crawl cleanup activity, redirects, and recent SEO changes.","Rýchly prehľad stavu metadát, aktivity čistenia indexového prehľadávania, presmerovaní a nedávnych zmien SEO.",,site/modules/Ichiban/ProcessIchiban.module.php,5ded7cfc24996854da04760043ba6190
Open Audit,Otvorte audit,,site/modules/Ichiban/ProcessIchiban.module.php,d696bd75a309953bf613eb851cdee09a
Site SEO Score,Skóre stránky SEO,,site/modules/Ichiban/ProcessIchiban.module.php,3e37d6888c657624030bcc638dadcc13
Review score,Hodnotenie skóre,,site/modules/Ichiban/ProcessIchiban.module.php,416798f0b25aeb1beb087b8a33e932a5
Pages without a meta title.,Stránky bez metanázvu.,,site/modules/Ichiban/ProcessIchiban.module.php,c6f04a5a6afe09939cab1dc1b9a8d078
Pages without a search snippet.,Stránky bez úryvku vyhľadávania.,,site/modules/Ichiban/ProcessIchiban.module.php,bfb42942a405eac62ad0e92738a5c4f3
Pages that may share poorly on social networks.,"Stránky, ktoré sa môžu na sociálnych sieťach zle zdieľať.",,site/modules/Ichiban/ProcessIchiban.module.php,e0ee926486f6ca48f8b405f1c383f634
