en,sv,description,file,hash
Connection status,Anslutningsstatus,,site/modules/Ichiban/Ichiban.module.php,1714ef7e843e7735ce68bebe872f33e5
Access token expires %s.,Åtkomsttoken upphör %s.,,site/modules/Ichiban/Ichiban.module.php,ba85dd89d299ed46b9c8a5948542f99c
Access token expired; refresh token is saved.,Åtkomsttoken har löpt ut; uppdateringstoken sparas.,,site/modules/Ichiban/Ichiban.module.php,f3802e32cd6d09d7c1af945c4f5943d6
Client ID saved,Klient-ID sparat,,site/modules/Ichiban/Ichiban.module.php,1de31a3258bc607d52b41ee216c7d72f
Client Secret saved,Klienthemligheten sparad,,site/modules/Ichiban/Ichiban.module.php,42b44c19ef8327c019c9ad9f78d67aee
Google account connected,Google-konto anslutet,,site/modules/Ichiban/Ichiban.module.php,d760203bbcc492353c8b31b14d9ffbf7
Open Insights,Öppna Insikter,,site/modules/Ichiban/Ichiban.module.php,7f1baa2a21ced2b2e130215f4bafd5f4
"Enter the Search Console domain, for example lqrs.uk. Ichiban will query it as a Domain property. You can still enter a URL-prefix property like https://example.com/ when needed.","Ange Search Console-domänen, till exempel lqrs.uk. Ichiban kommer att fråga den som en domänegenskap. Du kan fortfarande ange en URL-prefixegenskap som https://example.com/ när det behövs.",,site/modules/Ichiban/Ichiban.module.php,239ee60095ca0138f335744cf3894216
Examples: lqrs.uk or https://example.com/,Exempel: lqrs.uk eller https://example.com/,,site/modules/Ichiban/Ichiban.module.php,c5841c295217e694ae9814ae1de70f4e
Backlinks / Moz API,Bakåtlänkar / Moz API,,site/modules/Ichiban/Ichiban.module.php,148a3c9e93041db9e3a92077aa62487a
"Moz Links API is used by the Backlinks section for inbound links, linking root domains, and anchor text. Use the new Moz API token when possible; legacy Access ID and Secret Key are only a fallback. Start with a small row limit to control monthly usage.","Moz-länkar API används av sektionen bakåtlänkar för inkommande länkar, länkar rotdomäner och ankartext. Använd den nya Moz API token när det är möjligt; äldre åtkomst-ID och hemlig nyckel är bara en reserv. Börja med en liten radgräns för att kontrollera månatlig användning.",,site/modules/Ichiban/Ichiban.module.php,3934fe34546dadc9006bc189343d76f2
Default target,Standardmål,,site/modules/Ichiban/Ichiban.module.php,b9fa8d034ac4e37eaf215fe66737b851
Moz API token,Moz API token,,site/modules/Ichiban/Ichiban.module.php,607e064d5ce603ed00fcaf852c19c94b
Legacy Moz Access ID,Äldre Moz åtkomst-ID,,site/modules/Ichiban/Ichiban.module.php,9b8ce27d60235026df35f7d5cbca4530
Legacy Moz Secret Key,Äldre Moz hemlig nyckel,,site/modules/Ichiban/Ichiban.module.php,c8ee8763358100831a05c85657874e72
Moz API base URL,Moz API bas URL,,site/modules/Ichiban/Ichiban.module.php,3a6253c05602eb8d3bd204c6116b429d
Rows per request,Rader per förfrågan,,site/modules/Ichiban/Ichiban.module.php,ad470cb6dbb8dc939f06c96e7b0ab4fb
Used by the Backlinks preview tables.,Används av förhandsgranskningstabellerna för bakåtlänkar.,,site/modules/Ichiban/Ichiban.module.php,7c7dd953919a36c2613a5cbdb05ce96c
Timeout (sec),Timeout (sek),,site/modules/Ichiban/Ichiban.module.php,ef8e3c27bc823b5dcf6164fb9f2823de
AI / OpenRouter,AI / OpenRouter,,site/modules/Ichiban/Ichiban.module.php,352d399e1a48f6097e5ba56506f05233
"OpenRouter connection used by the Ichiban AI section. This follows the same OpenAI-compatible pattern as the Context module: provider, API key, model, limits, and OpenRouter attribution headers.","OpenRouter-anslutning som används av Ichiban AI-sektionen. Detta följer samma OpenAI-kompatibla mönster som Context-modulen: provider, API-nyckel, modell, limits och OpenRouter-attributionsrubriker.",,site/modules/Ichiban/Ichiban.module.php,cfc3cf84b322e9ae90482456eeb3bd38
Enable AI features,Aktivera AI-funktioner,,site/modules/Ichiban/Ichiban.module.php,3148562cec18808d8b30b9ee29e0f94e
Provider,Leverantör,,site/modules/Ichiban/Ichiban.module.php,27703c8f150ac4bb0a3a83a7857353af
OpenRouter API key,OpenRouter API nyckel,,site/modules/Ichiban/Ichiban.module.php,3f887aa03ecf4b1f9927b54999f9f425
Get a key at openrouter.ai/keys.,Få en nyckel på openrouter.ai/keys.,,site/modules/Ichiban/Ichiban.module.php,4737a7f3850d0474f3335ad3d0f213fa
Default model,Standardmodell,,site/modules/Ichiban/Ichiban.module.php,b8821dd93fc369a07b7e9be00bd71b10
"OpenRouter format: provider/model, for example anthropic/claude-sonnet-4-6 or openai/gpt-4o-mini.","OpenRouter-format: leverantör/modell, till exempel antropisk/claude-sonnet-4-6 eller openai/gpt-4o-mini.",,site/modules/Ichiban/Ichiban.module.php,f14be682d566283dc93e3af760bc8720
Max tokens,Max tokens,,site/modules/Ichiban/Ichiban.module.php,ebd6c027329f58c7a56ddb68035e623a
Temperature,Temperatur,,site/modules/Ichiban/Ichiban.module.php,ee7a8e262285ed49ea1b4e4ae11525bd
"0 = deterministic, 1 = more creative.","0 = deterministisk, 1 = mer kreativ.",,site/modules/Ichiban/Ichiban.module.php,e9c19aa21f310410427aed8cf273ee5e
Global system prompt,Global systemuppmaning,,site/modules/Ichiban/Ichiban.module.php,dc80dfae1022d8c1f3a4424589c3947f
Prepended to Ichiban AI requests.,Läggs till Ichiban AI-förfrågningar.,,site/modules/Ichiban/Ichiban.module.php,ac60eb790e862f3f993590931849b81f
You are a helpful SEO assistant for ProcessWire websites.,Du är en hjälpsam SEO-assistent för ProcessWire-webbplatser.,,site/modules/Ichiban/Ichiban.module.php,75146a303e87f5716fce1a6a506185cf
Site URL (OpenRouter attribution),Webbplats URL (OpenRouter attribution),,site/modules/Ichiban/Ichiban.module.php,24d92b3277066f6e0f59081c85224a28
Sent as HTTP-Referer header.,Skickat som HTTP-hänvisningshuvud.,,site/modules/Ichiban/Ichiban.module.php,abdfdf90ffdff8c9d2aa53a5e0c0e5ae
Site / app name (OpenRouter attribution),Webbplats-/appnamn (OpenRouter-attribution),,site/modules/Ichiban/Ichiban.module.php,42adc4749d3e4cad8dab5d6caaefb002
Sent as X-Title header.,Skickat som X-Title header.,,site/modules/Ichiban/Ichiban.module.php,d5d1de4439d5925614911c6ece8274dd
Publishing & URLs,Publicering & URLs,,site/modules/Ichiban/Ichiban.module.php,86c81580cb61ca8b8b36e1eb8791e413
"IndexNow keys are simple verification strings, not keys from an account. Generate one here or use any 8-128 character key containing letters, numbers, and hyphens. A public key file named {key}.txt must exist at the site root and contain the key.","IndexNow-nycklar är enkla verifieringssträngar, inte nycklar från ett konto. Skapa en här eller använd valfri nyckel på 8-128 tecken som innehåller bokstäver, siffror och bindestreck. En offentlig nyckelfil med namnet {key}.txt måste finnas i webbplatsroten och innehålla nyckeln.",,site/modules/Ichiban/Ichiban.module.php,6ba02b19032039de34d471bc54d181ad
Current key file URL: %s,Aktuell nyckelfil URL: %s,,site/modules/Ichiban/Ichiban.module.php,f3fa4b8b953f520859f0c214f66d9bae
Index Now API Key,Index nu API-nyckel,,site/modules/Ichiban/Ichiban.module.php,cf092d7f265535840a7191bfcde56ce6
Used when Ichiban pings IndexNow after a public page is saved.,Används när Ichiban pingar IndexNow efter att en offentlig sida har sparats.,,site/modules/Ichiban/Ichiban.module.php,b84b5ee761e789d69ce9c7be24f60152
Click Save to write/update the public key file if the site root is writable.,Klicka på Spara för att skriva/uppdatera den publika nyckelfilen om webbplatsroten är skrivbar.,,site/modules/Ichiban/Ichiban.module.php,d41067de431a8f0e6afc4d55afe9a674
Twitter/X Site Handle (global default),Twitter/X Site Handle (global standard),,site/modules/Ichiban/Ichiban.module.php,ad9fdbcb00b1dd7da69fbcdf723973f4
Example: @example,Exempel: @exempel,,site/modules/Ichiban/Ichiban.module.php,554f29fd1e15440cc34dbaa8a1b3cadc
URL segments in SEO URLs,URL segment i SEO URLs,,site/modules/Ichiban/Ichiban.module.php,9556ac4044ecb6e06b7b429847b0a7ab
"Controls canonical, og:url, twitter:url, and hreflang on pages that use ProcessWire URL segments.","Styr canonical, og:url, twitter:url och hreflang på sidor som använder ProcessWire URL-segment.",,site/modules/Ichiban/Ichiban.module.php,17b32f4acfd38a4071740901071cc050
Preserve current URL segments,Bevara nuvarande URL-segment,,site/modules/Ichiban/Ichiban.module.php,83d8e9e795d8952cd83396209ba9a48f
Collapse to the page URL,Dölj till sidan URL,,site/modules/Ichiban/Ichiban.module.php,fe2bdcd2792e9da25e6ea86d111b4c97
Updates,Uppdateringar,,site/modules/Ichiban/Ichiban.module.php,9ac41b6a577daadd588f0fcde0071e8b
"Dashboard update checks read GitHub releases and show a full-width banner when a newer Ichiban release exists. Installation is always manual, creates a local backup, and requires the ichiban-manage permission.","Dashboard-uppdateringskontroller läser GitHub-utgåvor och visar en banner i full bredd när en nyare Ichiban-utgåva finns. Installationen är alltid manuell, skapar en lokal säkerhetskopia och kräver ichiban-manage-tillstånd.",,site/modules/Ichiban/Ichiban.module.php,aff8e95b534b9b42349290ab799cad8c
Check GitHub releases for updates,Kontrollera GitHub-versioner för uppdateringar,,site/modules/Ichiban/Ichiban.module.php,8af20990687a028b2f608d8ee6004a5d
Allow one-click update installation,Tillåt installation av uppdateringar med ett klick,,site/modules/Ichiban/Ichiban.module.php,aba4539b0399a88c07f916c767c95b59
"When enabled, the Dashboard banner can download the latest release, back up the current module folder, and replace the module files.","När den är aktiverad kan Dashboard-bannern ladda ner den senaste versionen, säkerhetskopiera den aktuella modulmappen och ersätta modulfilerna.",,site/modules/Ichiban/Ichiban.module.php,f57c1026974a3a1ab1585d9cd74550a3
Update channel,Uppdatera kanal,,site/modules/Ichiban/Ichiban.module.php,224518815caec6dace24684b7bd877e8
Alpha / prerelease,Alfa / prerelease,,site/modules/Ichiban/Ichiban.module.php,525e2e5deda2a3dcdd20dc0338bbc4e1
Stable releases only,Endast stabila utgåvor,,site/modules/Ichiban/Ichiban.module.php,22d41cb854c8a5bcc9a6e97c8cbb410d
GitHub repository,GitHub-förråd,,site/modules/Ichiban/Ichiban.module.php,4a6c7893abd7ef92fb09d3359e17324d
Owner/repository used for release checks and downloads.,Ägare/lager som används för releasekontroller och nedladdningar.,,site/modules/Ichiban/Ichiban.module.php,35c9bc2b3b21d5920bee034405e4aec5
Sitemap,Webbplatskarta,,site/modules/Ichiban/Ichiban.module.php,5813ce0ec7196c492c97596718f71969
Public index: %s. Use the Sitemap tab for generation status and manual actions.,Offentligt index: %s. Använd fliken Webbplatskarta för genereringsstatus och manuella åtgärder.,,site/modules/Ichiban/Ichiban.module.php,55b9475f53a07c7d5196f4c71a398dbb
Enable XML sitemap,Aktivera XML-webbplatskarta,,site/modules/Ichiban/Ichiban.module.php,569a85acaf40ac1f92443e0decb42c95
Sitemap directory,Katalog för webbplatskarta,,site/modules/Ichiban/Ichiban.module.php,b0f475614b773ce993fe45c9ef8b6329
Relative to the ProcessWire web root.,I förhållande till ProcessWire webbrot.,,site/modules/Ichiban/Ichiban.module.php,ba69c62563d8fcaa5bc70e618ad9686c
URLs per file,URLs per fil,,site/modules/Ichiban/Ichiban.module.php,ae11a7f6039f458bb3417a74af2a2a22
Respect noindex,Respektera noindex,,site/modules/Ichiban/Ichiban.module.php,42daa8924f722774b292a26353574ae1
Include hidden pages,Inkludera dolda sidor,,site/modules/Ichiban/Ichiban.module.php,42fdbb35b46ad8e66130cc690f8d2e84
Include unpublished pages,Inkludera opublicerade sidor,,site/modules/Ichiban/Ichiban.module.php,f10bf91385c456e865e24520b8c3249a
Include image entries,Inkludera bildposter,,site/modules/Ichiban/Ichiban.module.php,bae90c7f5f8ba4caf46f4d33748af032
Include hreflang alternates,Inkludera hreflang-alternativ,,site/modules/Ichiban/Ichiban.module.php,a3f0a766c142dca615feb89b2fcf8e4f
Auto-regenerate with LazyCron,Återskapa automatiskt med LazyCron,,site/modules/Ichiban/Ichiban.module.php,f395869cfdc0ad94b539257b0822f0b9
Default priority,Standardprioritet,,site/modules/Ichiban/Ichiban.module.php,1ebbf846450960ea27ce5d8a47e2ee28
Default change frequency,Standardändringsfrekvens,,site/modules/Ichiban/Ichiban.module.php,7c7455bca9481ec96e91524395bd37a6
Homepage priority,Hemsidas prioritet,,site/modules/Ichiban/Ichiban.module.php,49e0d8d486d9112f21ba54742fe55be5
Homepage change frequency,Hemsida ändra frekvens,,site/modules/Ichiban/Ichiban.module.php,c7e60025101e69e09853c4ac2718519b
Only include templates,Inkludera endast mallar,,site/modules/Ichiban/Ichiban.module.php,950bad0a29a72ff00fb288b1f071d3ca
Exclude templates,Uteslut mallar,,site/modules/Ichiban/Ichiban.module.php,c7ea296376dd22a7d17f04efffe8ed27
Lastmod date format,Lastmod datumformat,,site/modules/Ichiban/Ichiban.module.php,31f0035ae8deafc50c1a884e22a2c851
Regenerate interval seconds,Regenerera intervall sekunder,,site/modules/Ichiban/Ichiban.module.php,6b7ef7337d0424ec1eaae0becea77bc2
Exclude URL patterns,Uteslut URL-mönster,,site/modules/Ichiban/Ichiban.module.php,7b2a2bf0e015b564de9d30ec757db7cc
One substring or regex per line.,En delsträng eller regex per rad.,,site/modules/Ichiban/Ichiban.module.php,205b33cf81fcdb5e601655a6dfdd6641
Custom URLs,Anpassad URLs,,site/modules/Ichiban/Ichiban.module.php,ab6d16c877b80ef4bcaa140978b45722
"One CSV row per URL: loc,lastmod,changefreq,priority. JSON array is also accepted.","En CSV-rad per URL: loc,lastmod,changefreq,prioritet. JSON array accepteras också.",,site/modules/Ichiban/Ichiban.module.php,cd635d3759f05d2a6653958ea84baa87
Actions,Åtgärder,,site/modules/Ichiban/Ichiban.module.php,06df33001c1d7187fdd81ea1f5b277aa
Open Sitemap dashboard,Öppna instrumentpanelen för webbplatskarta,,site/modules/Ichiban/Ichiban.module.php,b61224e27f0e9c1e2ea56427ab9df646
Open sitemap.xml,Öppna sitemap.xml,,site/modules/Ichiban/Ichiban.module.php,e22314499074693a6db3ad3ad84009d7
robots.txt / llms.txt,robots.txt / llms.txt,,site/modules/Ichiban/Ichiban.module.php,f7f3595cfd911fe0f32b2d5ed2d6ec94
"RobotsTxt companion module is installed. Use Setup > Robots.txt for the physical robots.txt editor and presets, or enable Ichiban robots.txt only when you want Ichiban to serve it dynamically. Avoid managing robots.txt in both places at once.","RobotsTxt-kompanjonsmodulen är installerad. Använd Setup > Robots.txt för den fysiska robots.txt-redigeraren och förinställningarna, eller aktivera Ichiban robots.txt endast när du vill att Ichiban ska betjäna den dynamiskt. Undvik att hantera robots.txt på båda ställena samtidigt.",,site/modules/Ichiban/Ichiban.module.php,61485a8a151dfd94bbad3951bd85db78
"Install the companion RobotsTxt module if you want a full physical robots.txt editor with presets, rules overview, file status, and a View file action. Ichiban can still serve a simple dynamic robots.txt when enabled below.","Installera den kompletterande RobotsTxt-modulen om du vill ha en fullständig fysisk robots.txt-redigerare med förinställningar, regelöversikt, filstatus och en View-filåtgärd. Ichiban kan fortfarande visa en enkel dynamisk robots.txt när den är aktiverad nedan.",,site/modules/Ichiban/Ichiban.module.php,8ce9d35f1632ad55a9b6fb6c83fdea06
Open Robots.txt editor,Öppna Robots.txt-redigeraren,,site/modules/Ichiban/Ichiban.module.php,ebbcbe25e55e17e08420c46e56b9b72b
Open robots.txt,Öppna robots.txt,,site/modules/Ichiban/Ichiban.module.php,6319ecca224596dd462c8d70e5de251e
Serve robots.txt from Ichiban,Servera robots.txt från Ichiban,,site/modules/Ichiban/Ichiban.module.php,3adf7437341bc34c9a419562a915cb4b
robots.txt content,robots.txt-innehåll,,site/modules/Ichiban/Ichiban.module.php,06007cedde4f915ae8a13b0bbce0565f
Ichiban appends Sitemap automatically when no Sitemap line is present.,Ichiban lägger till webbplatskarta automatiskt när det inte finns någon webbplatskarta.,,site/modules/Ichiban/Ichiban.module.php,74650062ba06bfbf447668866a3a3760
Serve llms.txt from Ichiban,Servera llms.txt från Ichiban,,site/modules/Ichiban/Ichiban.module.php,3df918c49ac03e882a2eee6e1b2f3377
llms.txt mode,llms.txt-läge,,site/modules/Ichiban/Ichiban.module.php,80c866323cb12b94221dff80bb9cf554
Auto,Auto,,site/modules/Ichiban/Ichiban.module.php,06b9281e396db002010bde1de57262eb
Manual,Manuell,,site/modules/Ichiban/Ichiban.module.php,e1ba155a9f2e8c3be94020eef32a0301
Auto mode templates,Mallar för automatiskt läge,,site/modules/Ichiban/Ichiban.module.php,25ee8a7254ee5db849a6b5e5255e4b18
Comma-separated template names. Leave empty for all published pages.,Kommaseparerade mallnamn. Lämna tomt för alla publicerade sidor.,,site/modules/Ichiban/Ichiban.module.php,74cf4d53a6a97044875cad78893856fa
Manual llms.txt lines,Manuella llms.txt-rader,,site/modules/Ichiban/Ichiban.module.php,c65f8a4c0f1b072037bcd4e12d6ead1c
One Markdown link or plain URL per line.,En Markdown-länk eller vanlig URL per rad.,,site/modules/Ichiban/Ichiban.module.php,dba285a1c9da947474171d57c08d9f74
Crawl & Search Cleanup,Genomsökning och rensning,,site/modules/Ichiban/Ichiban.module.php,2f33b05b959e88dac60b3ade4c27982c
Use cleanup options carefully on production. Blocked search queries are recorded in the Cleanup log.,Använd rengöringsalternativ noggrant vid produktion. Blockerade sökfrågor registreras i rensningsloggen.,,site/modules/Ichiban/Ichiban.module.php,25f9bdac879109e698c3eeea78382965
Block spam search queries,Blockera spam-sökningar,,site/modules/Ichiban/Ichiban.module.php,3ca11db7ae6adf6b9fc55bf1e49f9111
Remove RSD link,Ta bort RSD-länk,,site/modules/Ichiban/Ichiban.module.php,e78db2fa2f930ca7eb95d4fe519b1079
Remove WLW manifest,Ta bort WLW-manifest,,site/modules/Ichiban/Ichiban.module.php,af4faf4b93a20e008a2a44d6afda6e5e
Remove shortlink,Ta bort kortlänk,,site/modules/Ichiban/Ichiban.module.php,fba5ed320cbabb98e15b1d51ee8917b5
Remove prev/next links,Ta bort föregående/nästa länkar,,site/modules/Ichiban/Ichiban.module.php,11e2216ecf0699ef40a37d563256f587
Remove generator meta,Ta bort generatormeta,,site/modules/Ichiban/Ichiban.module.php,da6d4ea0cd2bf158595a2f0e44c0afcb
Blocked query action,Blockerad frågeåtgärd,,site/modules/Ichiban/Ichiban.module.php,84eea49868e62884a2b1691d7cddcdc1
Redirect to homepage,Omdirigera till hemsidan,,site/modules/Ichiban/Ichiban.module.php,0499b7aaa6d121d7bece90c4109317b2
Return 400,Retur 400,,site/modules/Ichiban/Ichiban.module.php,d7c0a219f529812b6e4b637d7b61475f
Custom block regex patterns,Anpassade blockregexmönster,,site/modules/Ichiban/Ichiban.module.php,2a055d063bf3d4633b9178510c96e149
One regular expression per line.,Ett reguljärt uttryck per rad.,,site/modules/Ichiban/Ichiban.module.php,711561b4befca537ab5d6186def421ed
Dashboard,Instrumentbräda,,site/modules/Ichiban/ProcessIchiban.module.php,2938c7f7e560ed972f8a4f68e80ff834
SEO Dashboard,SEO instrumentpanel,,site/modules/Ichiban/ProcessIchiban.module.php,9f4d395b3e4af46f092a4b462b8ea473
"A quick overview of metadata health, crawl cleanup activity, redirects, and recent SEO changes.","En snabb översikt över metadatatillstånd, genomsökningsrensning, omdirigeringar och senaste SEO-ändringar.",,site/modules/Ichiban/ProcessIchiban.module.php,5ded7cfc24996854da04760043ba6190
Open Audit,Öppna revision,,site/modules/Ichiban/ProcessIchiban.module.php,d696bd75a309953bf613eb851cdee09a
Site SEO Score,Webbplats SEO Poäng,,site/modules/Ichiban/ProcessIchiban.module.php,3e37d6888c657624030bcc638dadcc13
Review score,Granska poäng,,site/modules/Ichiban/ProcessIchiban.module.php,416798f0b25aeb1beb087b8a33e932a5
Pages without a meta title.,Sidor utan en metatitel.,,site/modules/Ichiban/ProcessIchiban.module.php,c6f04a5a6afe09939cab1dc1b9a8d078
Pages without a search snippet.,Sidor utan ett sökutdrag.,,site/modules/Ichiban/ProcessIchiban.module.php,bfb42942a405eac62ad0e92738a5c4f3
Pages that may share poorly on social networks.,Sidor som kan dela dåligt på sociala nätverk.,,site/modules/Ichiban/ProcessIchiban.module.php,e0ee926486f6ca48f8b405f1c383f634
Published pages hidden from search engines.,Publicerade sidor dolda från sökmotorer.,,site/modules/Ichiban/ProcessIchiban.module.php,926a9f5a5e0668125a66753533fd5404
Schemas,Schema,,site/modules/Ichiban/ProcessIchiban.module.php,a38d889a69652729428cd6a8d98fac2d
GSC clicks,GSC klickar,,site/modules/Ichiban/ProcessIchiban.module.php,2a0256449a43fc299bc7b07f07cc2f2e
Indexing issues,Indexeringsproblem,,site/modules/Ichiban/ProcessIchiban.module.php,b8529a719da70101b02721a9b1a13ca8
Index last rebuilt: %s,Index senast ombyggt: %s,,site/modules/Ichiban/ProcessIchiban.module.php,ff9b4fbc51b2f0812cc38cd1178f6c26
Rebuild Index,Bygg om index,,site/modules/Ichiban/ProcessIchiban.module.php,7a7b7a0b739647a0aa6bb1875ffee650
