en,ru,description,file,hash
China: renders 360-site-verification meta tag.,Китай: отображает метатег проверки сайта 360°.,,site/modules/Ichiban/Ichiban.module.php,d0a0430a9f737934f21aa4303c7edab1
Pinterest domain verification token.,Токен подтверждения домена Pinterest.,,site/modules/Ichiban/Ichiban.module.php,eacbd24ca94cad724c6f391d472638ba
Meta domain verification token.,Токен проверки метадомена.,,site/modules/Ichiban/Ichiban.module.php,db13ec584f9633e6751535d17824e79e
Numeric Pixel ID. Renders the standard PageView pixel on the home page.,Числовой идентификатор пикселя. Отрисовывает стандартный пиксель PageView на домашней странице.,,site/modules/Ichiban/Ichiban.module.php,9219a1dab2e3eebf88becf2f14e80d01
Additional verification meta tags,Дополнительные метатеги проверки,,site/modules/Ichiban/Ichiban.module.php,e7d88f3cf0b8b671959e10fe014e8fd2
One per line as meta-name=token. Use for regional tools that provide a meta verification tag.,"По одному в строке как мета-имя=токен. Используйте для региональных инструментов, которые предоставляют мета-тег проверки.",,site/modules/Ichiban/Ichiban.module.php,76f0c578ce00ff37d7e990f91b0953d3
Example: example-site-verification=abc123. Only simple meta names are rendered.,Пример: example-site-verification=abc123. Отображаются только простые мета-имена.,,site/modules/Ichiban/Ichiban.module.php,3cd39c0bf9c68bf909c01310e7dfa0ef
Google Search Console,Google Search Console,,site/modules/Ichiban/Ichiban.module.php,4243784eac7728b8e6339bdafe240e01
"Enable the Google Search Console API, create an OAuth Web application client, add this authorized redirect URI: %s, publish the OAuth app to production, then paste the Client ID and Client Secret below. Existing tokens are preserved when settings are saved.","Включите Google Search Console API, создайте клиент веб-приложения OAuth, добавьте этот авторизованный URI перенаправления: %s, опубликуйте приложение OAuth в рабочей среде, затем вставьте идентификатор клиента и секрет клиента ниже. Существующие токены сохраняются при сохранении настроек.",,site/modules/Ichiban/Ichiban.module.php,43a85ff63755f87a7ccd5056ba6c38c6
Connection status,Статус подключения,,site/modules/Ichiban/Ichiban.module.php,1714ef7e843e7735ce68bebe872f33e5
Access token expires %s.,Срок действия токена доступа истекает %s.,,site/modules/Ichiban/Ichiban.module.php,ba85dd89d299ed46b9c8a5948542f99c
Access token expired; refresh token is saved.,Срок действия токена доступа истек; токен обновления сохранен.,,site/modules/Ichiban/Ichiban.module.php,f3802e32cd6d09d7c1af945c4f5943d6
Client ID saved,Идентификатор клиента сохранен.,,site/modules/Ichiban/Ichiban.module.php,1de31a3258bc607d52b41ee216c7d72f
Client Secret saved,Секрет клиента сохранен.,,site/modules/Ichiban/Ichiban.module.php,42b44c19ef8327c019c9ad9f78d67aee
Google account connected,Аккаунт Google подключен,,site/modules/Ichiban/Ichiban.module.php,d760203bbcc492353c8b31b14d9ffbf7
Open Insights,Открытая статистика,,site/modules/Ichiban/Ichiban.module.php,7f1baa2a21ced2b2e130215f4bafd5f4
"Enter the Search Console domain, for example lqrs.uk. Ichiban will query it as a Domain property. You can still enter a URL-prefix property like https://example.com/ when needed.","Введите домен Search Console, например lqrs.uk. Ichiban запросит его как свойство домена. При необходимости вы все равно можете ввести свойство с префиксом URL, например https://example.com/.",,site/modules/Ichiban/Ichiban.module.php,239ee60095ca0138f335744cf3894216
Examples: lqrs.uk or https://example.com/,Примеры: lqrs.uk или https://example.com/.,,site/modules/Ichiban/Ichiban.module.php,c5841c295217e694ae9814ae1de70f4e
Backlinks / Moz API,Обратные ссылки / Moz API,,site/modules/Ichiban/Ichiban.module.php,148a3c9e93041db9e3a92077aa62487a
"Moz Links API is used by the Backlinks section for inbound links, linking root domains, and anchor text. Use the new Moz API token when possible; legacy Access ID and Secret Key are only a fallback. Start with a small row limit to control monthly usage.","Moz Ссылки API используется в разделе «Обратные ссылки» для входящих ссылок, привязки корневых доменов и текста привязки. По возможности используйте новый токен Moz API; Устаревший идентификатор доступа и секретный ключ являются лишь запасным вариантом. Начните с небольшого лимита строк, чтобы контролировать ежемесячное использование.",,site/modules/Ichiban/Ichiban.module.php,3934fe34546dadc9006bc189343d76f2
Default target,Цель по умолчанию,,site/modules/Ichiban/Ichiban.module.php,b9fa8d034ac4e37eaf215fe66737b851
Moz API token,Moz API токен,,site/modules/Ichiban/Ichiban.module.php,607e064d5ce603ed00fcaf852c19c94b
Legacy Moz Access ID,Устаревший идентификатор доступа Moz,,site/modules/Ichiban/Ichiban.module.php,9b8ce27d60235026df35f7d5cbca4530
Legacy Moz Secret Key,Устаревший секретный ключ Moz,,site/modules/Ichiban/Ichiban.module.php,c8ee8763358100831a05c85657874e72
Moz API base URL,Moz API база URL,,site/modules/Ichiban/Ichiban.module.php,3a6253c05602eb8d3bd204c6116b429d
Rows per request,Строки на запрос,,site/modules/Ichiban/Ichiban.module.php,ad470cb6dbb8dc939f06c96e7b0ab4fb
Used by the Backlinks preview tables.,Используется таблицами предварительного просмотра обратных ссылок.,,site/modules/Ichiban/Ichiban.module.php,7c7dd953919a36c2613a5cbdb05ce96c
Timeout (sec),Тайм-аут (сек),,site/modules/Ichiban/Ichiban.module.php,ef8e3c27bc823b5dcf6164fb9f2823de
AI / Squad,ИИ/Отряд,,site/modules/Ichiban/Ichiban.module.php,c7c967fe29ea975b52a568677d80d368
Ichiban uses Squad as the shared AI gateway. Configure provider keys in Squad; use these settings only for Ichiban request defaults and SEO-specific prompts.,"Ичибан использует Squad в качестве общего шлюза искусственного интеллекта. Настроить ключи провайдера в Squad; используйте эти настройки только для значений по умолчанию для запросов Ichiban и подсказок, специфичных для SEO.",,site/modules/Ichiban/Ichiban.module.php,b3a60431fd7be7126e428a28f3bb08e5
Squad connection,Соединение отряда,,site/modules/Ichiban/Ichiban.module.php,ce0a6805ed97e495b3871f250b469549
Squad is installed. Active providers: %s.,Отряд установлен. Активные провайдеры: %s.,,site/modules/Ichiban/Ichiban.module.php,943cdceb5161ec2aaa0c8b7240c88ff5
Open Squad settings,Открыть настройки отряда,,site/modules/Ichiban/Ichiban.module.php,e5e25695970de11c7acbf3f901b7e249
Squad is not installed. Install and configure Squad before running Ichiban AI requests.,Сквад не установлен. Установите и настройте Squad перед выполнением запросов Ichiban AI.,,site/modules/Ichiban/Ichiban.module.php,1fd298f8ed650af1f1c7391b249df142
Provider override,Переопределение поставщика,,site/modules/Ichiban/Ichiban.module.php,c8b66ad23c12655d32b6e9b14a5d32fd
Leave empty to use the default provider selected in Squad.,"Оставьте пустым, чтобы использовать поставщика по умолчанию, выбранного в Squad.",,site/modules/Ichiban/Ichiban.module.php,9c3aac1cd9f9352d12af87ccb7e38fb2
Squad default,Состав по умолчанию,,site/modules/Ichiban/Ichiban.module.php,379df8c2ecca7f514c9cf71e7f215a34
Model override,Переопределение модели,,site/modules/Ichiban/Ichiban.module.php,a90e17a4e9375a72a438a44c0a43e661
Optional. Leave empty to use the model configured on the active Squad key.,"Необязательно. Оставьте пустым, чтобы использовать модель, настроенную для активного ключа Squad.",,site/modules/Ichiban/Ichiban.module.php,d46e25bd96a117a8661e6f8ffbb7fdad
Use a model ID supported by the selected Squad provider.,"Используйте идентификатор модели, поддерживаемый выбранным поставщиком Squad.",,site/modules/Ichiban/Ichiban.module.php,72d95b32af7e034bf92d02c480624d80
Max tokens,Макс. жетонов,,site/modules/Ichiban/Ichiban.module.php,ebd6c027329f58c7a56ddb68035e623a
Temperature,Температура,,site/modules/Ichiban/Ichiban.module.php,ee7a8e262285ed49ea1b4e4ae11525bd
"0 = deterministic, 1 = more creative.","0 = детерминированный, 1 = более творческий.",,site/modules/Ichiban/Ichiban.module.php,e9c19aa21f310410427aed8cf273ee5e
Global system prompt,Глобальная системная подсказка,,site/modules/Ichiban/Ichiban.module.php,dc80dfae1022d8c1f3a4424589c3947f
Prepended to Ichiban AI requests before the mode-specific SEO prompt.,Добавляется к запросам Ichiban AI перед подсказкой SEO для конкретного режима.,,site/modules/Ichiban/Ichiban.module.php,ba50ae3d4e25aaf8e9f96f1b12597d8a
You are a helpful SEO assistant for ProcessWire websites.,Вы полезный помощник SEO для веб-сайтов ProcessWire.,,site/modules/Ichiban/Ichiban.module.php,75146a303e87f5716fce1a6a506185cf
Publishing & URLs,Издательское дело и URLs,,site/modules/Ichiban/Ichiban.module.php,86c81580cb61ca8b8b36e1eb8791e413
"IndexNow keys are simple verification strings, not keys from an account. Generate one here or use any 8-128 character key containing letters, numbers, and hyphens. A public key file named {key}.txt must exist at the site root and contain the key.","Ключи IndexNow — это простые строки проверки, а не ключи от учетной записи. Создайте его здесь или используйте любой ключ длиной от 8 до 128 символов, содержащий буквы, цифры и дефисы. Файл открытого ключа с именем {key}.txt должен существовать в корне сайта и содержать ключ.",,site/modules/Ichiban/Ichiban.module.php,6ba02b19032039de34d471bc54d181ad
Current key file URL: %s,Текущий ключевой файл URL: %s,,site/modules/Ichiban/Ichiban.module.php,f3fa4b8b953f520859f0c214f66d9bae
Index Now API Key,Индексировать сейчас ключ API,,site/modules/Ichiban/Ichiban.module.php,cf092d7f265535840a7191bfcde56ce6
Used when Ichiban pings IndexNow after a public page is saved.,"Используется, когда Ichiban пингует IndexNow после сохранения общедоступной страницы.",,site/modules/Ichiban/Ichiban.module.php,b84b5ee761e789d69ce9c7be24f60152
Click Save to write/update the public key file if the site root is writable.,"Нажмите «Сохранить», чтобы записать/обновить файл открытого ключа, если корень сайта доступен для записи.",,site/modules/Ichiban/Ichiban.module.php,d41067de431a8f0e6afc4d55afe9a674
Twitter/X Site Handle (global default),Twitter/X Дескриптор сайта (глобальный по умолчанию),,site/modules/Ichiban/Ichiban.module.php,ad9fdbcb00b1dd7da69fbcdf723973f4
Example: @example,Пример: @пример,,site/modules/Ichiban/Ichiban.module.php,554f29fd1e15440cc34dbaa8a1b3cadc
URL segments in SEO URLs,Сегменты URL в SEO URLs,,site/modules/Ichiban/Ichiban.module.php,9556ac4044ecb6e06b7b429847b0a7ab
"Controls canonical, og:url, twitter:url, and hreflang on pages that use ProcessWire URL segments.","Управляет каноническими параметрами, og:url, twitter:url и hreflang на страницах, использующих сегменты ProcessWire URL.",,site/modules/Ichiban/Ichiban.module.php,17b32f4acfd38a4071740901071cc050
Preserve current URL segments,Сохранить текущие сегменты URL.,,site/modules/Ichiban/Ichiban.module.php,83d8e9e795d8952cd83396209ba9a48f
Collapse to the page URL,Свернуть на страницу URL,,site/modules/Ichiban/Ichiban.module.php,fe2bdcd2792e9da25e6ea86d111b4c97
Updates,Обновления,,site/modules/Ichiban/Ichiban.module.php,9ac41b6a577daadd588f0fcde0071e8b
"Dashboard update checks read GitHub releases and show a full-width banner when a newer Ichiban release exists. Installation is always manual, creates a local backup, and requires the ichiban-manage permission.","При проверке обновлений информационной панели считываются выпуски GitHub и отображается полноразмерный баннер при наличии новой версии Ichiban. Установка всегда выполняется вручную, создается локальная резервная копия и требуется разрешение на управление ichiban.",,site/modules/Ichiban/Ichiban.module.php,aff8e95b534b9b42349290ab799cad8c
Check GitHub releases for updates,Проверьте выпуски GitHub на наличие обновлений.,,site/modules/Ichiban/Ichiban.module.php,8af20990687a028b2f608d8ee6004a5d
Allow one-click update installation,Разрешить установку обновлений в один клик,,site/modules/Ichiban/Ichiban.module.php,aba4539b0399a88c07f916c767c95b59
"When enabled, the Dashboard banner can download the latest release, back up the current module folder, and replace the module files.","Если этот параметр включен, баннер информационной панели может загружать последнюю версию, создавать резервную копию текущей папки модуля и заменять файлы модуля.",,site/modules/Ichiban/Ichiban.module.php,f57c1026974a3a1ab1585d9cd74550a3
Update channel,Обновить канал,,site/modules/Ichiban/Ichiban.module.php,224518815caec6dace24684b7bd877e8
Alpha / prerelease,Альфа/пререлиз,,site/modules/Ichiban/Ichiban.module.php,525e2e5deda2a3dcdd20dc0338bbc4e1
Stable releases only,Только стабильные версии,,site/modules/Ichiban/Ichiban.module.php,22d41cb854c8a5bcc9a6e97c8cbb410d
GitHub repository,Репозиторий GitHub,,site/modules/Ichiban/Ichiban.module.php,4a6c7893abd7ef92fb09d3359e17324d
Owner/repository used for release checks and downloads.,"Владелец/репозиторий, используемый для проверки выпуска и загрузки.",,site/modules/Ichiban/Ichiban.module.php,35c9bc2b3b21d5920bee034405e4aec5
Sitemap,Карта сайта,,site/modules/Ichiban/Ichiban.module.php,5813ce0ec7196c492c97596718f71969
Public index: %s. Use the Sitemap tab for generation status and manual actions.,"Публичный индекс: %s. Используйте вкладку Sitemap для просмотра статуса создания и действий, выполняемых вручную.",,site/modules/Ichiban/Ichiban.module.php,55b9475f53a07c7d5196f4c71a398dbb
Enable XML sitemap,Включить карту сайта XML,,site/modules/Ichiban/Ichiban.module.php,569a85acaf40ac1f92443e0decb42c95
Sitemap directory,Каталог карты сайта,,site/modules/Ichiban/Ichiban.module.php,b0f475614b773ce993fe45c9ef8b6329
Relative to the ProcessWire web root.,Относительно корня веб-страницы ProcessWire.,,site/modules/Ichiban/Ichiban.module.php,ba69c62563d8fcaa5bc70e618ad9686c
URLs per file,URLs на файл,,site/modules/Ichiban/Ichiban.module.php,ae11a7f6039f458bb3417a74af2a2a22
Respect noindex,Уважайте noindex,,site/modules/Ichiban/Ichiban.module.php,42daa8924f722774b292a26353574ae1
Include hidden pages,Включить скрытые страницы,,site/modules/Ichiban/Ichiban.module.php,42fdbb35b46ad8e66130cc690f8d2e84
Include unpublished pages,Включить неопубликованные страницы,,site/modules/Ichiban/Ichiban.module.php,f10bf91385c456e865e24520b8c3249a
Include image entries,Включить записи изображений,,site/modules/Ichiban/Ichiban.module.php,bae90c7f5f8ba4caf46f4d33748af032
Include hreflang alternates,Включить альтернативы hreflang,,site/modules/Ichiban/Ichiban.module.php,a3f0a766c142dca615feb89b2fcf8e4f
Auto-regenerate with LazyCron,Автоматическая регенерация с помощью LazyCron,,site/modules/Ichiban/Ichiban.module.php,f395869cfdc0ad94b539257b0822f0b9
Default priority,Приоритет по умолчанию,,site/modules/Ichiban/Ichiban.module.php,1ebbf846450960ea27ce5d8a47e2ee28
Default change frequency,Частота изменения по умолчанию,,site/modules/Ichiban/Ichiban.module.php,7c7455bca9481ec96e91524395bd37a6
Homepage priority,Приоритет главной страницы,,site/modules/Ichiban/Ichiban.module.php,49e0d8d486d9112f21ba54742fe55be5
Homepage change frequency,Частота изменения домашней страницы,,site/modules/Ichiban/Ichiban.module.php,c7e60025101e69e09853c4ac2718519b
Only include templates,Включайте только шаблоны,,site/modules/Ichiban/Ichiban.module.php,950bad0a29a72ff00fb288b1f071d3ca
Exclude templates,Исключить шаблоны,,site/modules/Ichiban/Ichiban.module.php,c7ea296376dd22a7d17f04efffe8ed27
Lastmod date format,Формат даты последнего мода,,site/modules/Ichiban/Ichiban.module.php,31f0035ae8deafc50c1a884e22a2c851
Regenerate interval seconds,Интервал регенерации в секундах,,site/modules/Ichiban/Ichiban.module.php,6b7ef7337d0424ec1eaae0becea77bc2
Exclude URL patterns,Исключить шаблоны URL,,site/modules/Ichiban/Ichiban.module.php,7b2a2bf0e015b564de9d30ec757db7cc
One substring or regex per line.,Одна подстрока или регулярное выражение в строке.,,site/modules/Ichiban/Ichiban.module.php,205b33cf81fcdb5e601655a6dfdd6641
Custom URLs,Пользовательский URLs,,site/modules/Ichiban/Ichiban.module.php,ab6d16c877b80ef4bcaa140978b45722
"One CSV row per URL: loc,lastmod,changefreq,priority. JSON array is also accepted.","Одна строка CSV на URL: loc,lastmod,changefreq,priority. Массив JSON также принимается.",,site/modules/Ichiban/Ichiban.module.php,cd635d3759f05d2a6653958ea84baa87
Actions,Действия,,site/modules/Ichiban/Ichiban.module.php,06df33001c1d7187fdd81ea1f5b277aa
Open Sitemap dashboard,Открыть панель управления картой сайта,,site/modules/Ichiban/Ichiban.module.php,b61224e27f0e9c1e2ea56427ab9df646
Open sitemap.xml,Открыть файл sitemap.xml,,site/modules/Ichiban/Ichiban.module.php,e22314499074693a6db3ad3ad84009d7
robots.txt / llms.txt,robots.txt / llms.txt,,site/modules/Ichiban/Ichiban.module.php,f7f3595cfd911fe0f32b2d5ed2d6ec94
"RobotsTxt companion module is installed. Use Setup > Robots.txt for the physical robots.txt editor and presets, or enable Ichiban robots.txt only when you want Ichiban to serve it dynamically. Avoid managing robots.txt in both places at once.","Установлен сопутствующий модуль RobotsTxt. Используйте «Настройка» > «Robots.txt» для физического редактора и предустановок файла robots.txt или включите Ichiban robots.txt только в том случае, если вы хотите, чтобы Ichiban обслуживал его динамически. Избегайте управления файлом robots.txt в обоих местах одновременно.",,site/modules/Ichiban/Ichiban.module.php,61485a8a151dfd94bbad3951bd85db78
"Install the companion RobotsTxt module if you want a full physical robots.txt editor with presets, rules overview, file status, and a View file action. Ichiban can still serve a simple dynamic robots.txt when enabled below.","Установите сопутствующий модуль RobotsTxt, если вам нужен полноценный физический редактор robots.txt с предустановками, обзором правил, статусом файла и действием «Просмотреть файл». Ichiban по-прежнему может обслуживать простой динамический файл robots.txt, если он включен ниже.",,site/modules/Ichiban/Ichiban.module.php,8ce9d35f1632ad55a9b6fb6c83fdea06
Open Robots.txt editor,Откройте редактор Robots.txt.,,site/modules/Ichiban/Ichiban.module.php,ebbcbe25e55e17e08420c46e56b9b72b
Open robots.txt,Откройте файл robots.txt,,site/modules/Ichiban/Ichiban.module.php,6319ecca224596dd462c8d70e5de251e
Serve robots.txt from Ichiban,Подавать robots.txt из Ichiban,,site/modules/Ichiban/Ichiban.module.php,3adf7437341bc34c9a419562a915cb4b
robots.txt content,Содержимое файла robots.txt,,site/modules/Ichiban/Ichiban.module.php,06007cedde4f915ae8a13b0bbce0565f
Ichiban appends Sitemap automatically when no Sitemap line is present.,"Ichiban автоматически добавляет карту сайта, если строка карты сайта отсутствует.",,site/modules/Ichiban/Ichiban.module.php,74650062ba06bfbf447668866a3a3760
Serve llms.txt from Ichiban,Подавать llms.txt из Ichiban,,site/modules/Ichiban/Ichiban.module.php,3df918c49ac03e882a2eee6e1b2f3377
llms.txt mode,режим llms.txt,,site/modules/Ichiban/Ichiban.module.php,80c866323cb12b94221dff80bb9cf554
Auto,Авто,,site/modules/Ichiban/Ichiban.module.php,06b9281e396db002010bde1de57262eb
Manual,Руководство,,site/modules/Ichiban/Ichiban.module.php,e1ba155a9f2e8c3be94020eef32a0301
Auto mode templates,Шаблоны автоматического режима,,site/modules/Ichiban/Ichiban.module.php,25ee8a7254ee5db849a6b5e5255e4b18
Comma-separated template names. Leave empty for all published pages.,"Имена шаблонов, разделенные запятыми. Оставьте пустым для всех опубликованных страниц.",,site/modules/Ichiban/Ichiban.module.php,74cf4d53a6a97044875cad78893856fa
Manual llms.txt lines,Ручные строки llms.txt,,site/modules/Ichiban/Ichiban.module.php,c65f8a4c0f1b072037bcd4e12d6ead1c
One Markdown link or plain URL per line.,Одна ссылка Markdown или простой URL на строку.,,site/modules/Ichiban/Ichiban.module.php,dba285a1c9da947474171d57c08d9f74
Crawl & Search Cleanup,Очистка сканирования и поиска,,site/modules/Ichiban/Ichiban.module.php,2f33b05b959e88dac60b3ade4c27982c
Use cleanup options carefully on production. Blocked search queries are recorded in the Cleanup log.,Осторожно используйте параметры очистки при производстве. Заблокированные поисковые запросы записываются в журнал очистки.,,site/modules/Ichiban/Ichiban.module.php,25f9bdac879109e698c3eeea78382965
Block spam search queries,Блокировать поисковые спам-запросы,,site/modules/Ichiban/Ichiban.module.php,3ca11db7ae6adf6b9fc55bf1e49f9111
Remove RSD link,Удалить ссылку на RSD,,site/modules/Ichiban/Ichiban.module.php,e78db2fa2f930ca7eb95d4fe519b1079
Remove WLW manifest,Удалить манифест WLW,,site/modules/Ichiban/Ichiban.module.php,af4faf4b93a20e008a2a44d6afda6e5e
Remove shortlink,Удалить короткую ссылку,,site/modules/Ichiban/Ichiban.module.php,fba5ed320cbabb98e15b1d51ee8917b5
Remove prev/next links,Удалить предыдущую/следующую ссылку,,site/modules/Ichiban/Ichiban.module.php,11e2216ecf0699ef40a37d563256f587
Remove generator meta,Удалить мета генератора,,site/modules/Ichiban/Ichiban.module.php,da6d4ea0cd2bf158595a2f0e44c0afcb
Blocked query action,Заблокированное действие запроса,,site/modules/Ichiban/Ichiban.module.php,84eea49868e62884a2b1691d7cddcdc1
Redirect to homepage,Перенаправление на домашнюю страницу,,site/modules/Ichiban/Ichiban.module.php,0499b7aaa6d121d7bece90c4109317b2
Return 400,Возврат 400,,site/modules/Ichiban/Ichiban.module.php,d7c0a219f529812b6e4b637d7b61475f
Custom block regex patterns,Пользовательские шаблоны регулярных выражений блоков,,site/modules/Ichiban/Ichiban.module.php,2a055d063bf3d4633b9178510c96e149
One regular expression per line.,Одно регулярное выражение в строке.,,site/modules/Ichiban/Ichiban.module.php,711561b4befca537ab5d6186def421ed
Dashboard,Панель управления,,site/modules/Ichiban/ProcessIchiban.module.php,2938c7f7e560ed972f8a4f68e80ff834
SEO Dashboard,SEO Панель управления,,site/modules/Ichiban/ProcessIchiban.module.php,9f4d395b3e4af46f092a4b462b8ea473
"A quick overview of metadata health, crawl cleanup activity, redirects, and recent SEO changes.","Краткий обзор состояния метаданных, действий по очистке сканирования, перенаправлений и последних изменений SEO.",,site/modules/Ichiban/ProcessIchiban.module.php,5ded7cfc24996854da04760043ba6190
Open Audit,Открытый аудит,,site/modules/Ichiban/ProcessIchiban.module.php,d696bd75a309953bf613eb851cdee09a
Site SEO Score,Оценка сайта SEO,,site/modules/Ichiban/ProcessIchiban.module.php,3e37d6888c657624030bcc638dadcc13
Review score,Оценка по отзывам,,site/modules/Ichiban/ProcessIchiban.module.php,416798f0b25aeb1beb087b8a33e932a5
Pages without a meta title.,Страницы без мета-заголовка.,,site/modules/Ichiban/ProcessIchiban.module.php,c6f04a5a6afe09939cab1dc1b9a8d078
Pages without a search snippet.,Страницы без фрагмента поиска.,,site/modules/Ichiban/ProcessIchiban.module.php,bfb42942a405eac62ad0e92738a5c4f3
Pages that may share poorly on social networks.,"Страницы, которые могут плохо распространяться в социальных сетях.",,site/modules/Ichiban/ProcessIchiban.module.php,e0ee926486f6ca48f8b405f1c383f634
Published pages hidden from search engines.,Опубликованные страницы скрыты от поисковых систем.,,site/modules/Ichiban/ProcessIchiban.module.php,926a9f5a5e0668125a66753533fd5404
Schemas,Схемы,,site/modules/Ichiban/ProcessIchiban.module.php,a38d889a69652729428cd6a8d98fac2d
GSC clicks,GSC щелкает,,site/modules/Ichiban/ProcessIchiban.module.php,2a0256449a43fc299bc7b07f07cc2f2e
Indexing issues,Проблемы с индексацией,,site/modules/Ichiban/ProcessIchiban.module.php,b8529a719da70101b02721a9b1a13ca8
